Scene,Mean RANSAC Iterations,STD RANSAC Iterations,Mean ICP Iterations,STD ICP Iterations,RANSAC: Mean Fitness,RANSAC: STD Fitness,ICP: Mean Fitness,ICP: STD Fitness,RANSAC: Mean Inlier RMSE,RANSAC: STD Inlier RMSE,ICP: Mean Inlier RMSE,ICP: STD Inlier RMSE
7-scenes-redkitchen,13.538461538461538,15.419767532917957,30.0,0.0,0.657549299599733,0.14559397604627355,0.7034873447488713,0.15239161953989377,0.019948094435032846,0.0026804916470153316,0.01767624854272398,0.00356568088276218
sun3d-home_at-home_at_scan1_2013_jan_1,12.0,13.737804508991701,30.0,0.0,0.507861402749822,0.17626372038201074,0.5379399677149889,0.1694703481939202,0.020156168589786614,0.003613699460471933,0.018132829720775002,0.0037366310111953713
sun3d-home_md-home_md_scan9_2012_sep_30,142.06666666666666,397.6375712822395,30.0,0.0,0.561341449881974,0.27187097436529917,0.5932101719352674,0.2718638054226723,0.019179699176150485,0.003306971696396785,0.01777767564540122,0.003840116806605788
sun3d-hotel_uc-scan3,37.0,55.45809228597752,30.0,0.0,0.6308963562176445,0.21195506974791756,0.6618343982971933,0.2044272108501263,0.018308404893094637,0.003529967016390778,0.016077433543934008,0.003882498033063552
sun3d-hotel_umd-maryland_hotel1,43.18181818181818,59.14696641725285,30.0,0.0,0.6368733811898116,0.2512850008175582,0.6603983428946615,0.24452029952623797,0.018038002125550307,0.004086128538184944,0.016409371623645943,0.004566487533019619
sun3d-hotel_umd-maryland_hotel3,42.5,83.85735242395599,30.0,0.0,0.6360795485447641,0.21268988606009626,0.6677067490858227,0.21272064024297255,0.018741737846036815,0.0029431309383142527,0.01736110903161392,0.003992191228110684
sun3d-mit_76_studyroom-76-1studyroom2,13.0,18.934976454522815,30.0,0.0,0.5529706579077487,0.18947520057605455,0.6093411766460486,0.17396370015341045,0.01929264464509604,0.0024704036580952406,0.01649767567013163,0.002662273887815812
sun3d-mit_lab_hj-lab_hj_tea_nov_2_2012_scan1_erika,416.0,914.2504397957197,30.0,0.0,0.6397805705150118,0.25072379755231683,0.6887572263486165,0.23263926781867264,0.019455411276143857,0.0049314849977404995,0.01656049100773794,0.004277620678723438
TOTAL,89.91086829836831,405.519876272764,30.0,0.0,0.6029190833258138,0.21736947418726324,0.6403344222089338,0.21130482049768717,0.01914002037336145,0.0034891846861282868,0.017061604348245454,0.0037491809335752214
Inter-Scene STD,,138.41110258664818,,0.0,,0.05429808705443164,,0.05556593804443843,,0.00074397949100588,,0.0007644701503710688
