Set: 7-scenes-redkitchen
15 20
46 48
0 4
9 25
13 40
41 44
16 23
3 45
16 19
17 36
17 59
55 59
11 14
10 38
5 26
2 31
13 45
7 35
0 28
18 26
3 30
Set: sun3d-home_at-home_at_scan1_2013_jan_1
34 37
56 59
53 58
41 48
1 38
36 49
25 29
12 16
14 16
36 48
24 31
52 55
9 29
2 37
33 41
31 33
12 17
1 34
8 24
24 26
23 31
Set: sun3d-home_md-home_md_scan9_2012_sep_30
20 23
17 22
53 59
10 33
40 49
9 32
4 38
35 37
17 20
21 58
11 33
40 47
23 58
19 55
39 47
3 38
3 45
5 46
10 36
38 46
29 49
Set: sun3d-hotel_uc-scan3
24 49
0 43
32 48
1 45
15 22
25 52
7 37
14 51
31 33
10 45
13 49
4 37
4 36
47 52
0 36
39 41
9 45
24 50
16 48
2 54
23 50
Set: sun3d-hotel_umd-maryland_hotel1
0 26
26 29
5 22
40 56
51 54
38 40
4 17
5 17
19 21
14 25
33 35
11 13
5 18
1 15
0 25
38 41
1 24
3 12
13 29
1 16
13 32
Set: sun3d-hotel_umd-maryland_hotel3
24 28
32 34
34 36
23 30
28 30
32 36
17 19
32 35
33 35
22 29
8 10
23 28
31 34
10 15
8 15
23 29
33 36
25 27
10 16
21 28
31 33
Set: sun3d-mit_76_studyroom-76-1studyroom2
1 35
2 37
8 39
7 38
34 37
14 56
0 47
20 22
51 53
27 32
2 49
37 49
23 33
5 39
7 48
7 46
0 48
35 49
40 47
2 36
3 48
Set: sun3d-mit_lab_hj-lab_hj_tea_nov_2_2012_scan1_erika
34 37
0 11
32 35
33 36
0 10
4 6
26 28
35 37
14 16
31 36
1 6
3 5
15 17
5 8
34 36
31 35
0 6
4 7
33 37
22 24
9 11
