Scene,Target,Source,RANSAC Iterations,ICP Iterations,RANSAC: Fitness,ICP: Fitness,RANSAC: Inlier RMSE,ICP: Inlier RMSE,Initial Guess,Transformation
sun3d-hotel_umd-maryland_hotel3,24,28,276,30,0.8271106626303397,0.8220407913647066,0.01590127560089132,0.014599605465402598,"[[ 0.95276317 -0.1400385   0.26950245  0.06056575]
 [ 0.0923767   0.97893205  0.18209501  0.05086959]
 [-0.28932489 -0.14859767  0.94562669  0.06017483]
 [ 0.          0.          0.          1.        ]]","[[ 0.95110797 -0.15327742  0.26814111  0.04535578]
 [ 0.1067119   0.97778405  0.18041874  0.05793578]
 [-0.28983822 -0.14298385  0.94633473  0.03848927]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,17,19,9,30,0.8157386483929089,0.8830035905168875,0.018363302914229065,0.014115752867664009,"[[ 0.94663802  0.25204641 -0.20087078 -0.17757497]
 [-0.30823097  0.89010714 -0.3357126  -0.66678074]
 [ 0.09418136  0.3797129   0.92029777  0.86499579]
 [ 0.          0.          0.          1.        ]]","[[ 0.93167464  0.25847828 -0.25528677 -0.1113304 ]
 [-0.33044751  0.89492184 -0.29986554 -0.6621019 ]
 [ 0.15095297  0.363736    0.91918949  0.83443953]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,22,29,10,30,0.7464766143421343,0.8057727391191035,0.01685094330426617,0.01733014160776459,"[[ 0.63411934  0.77316831  0.01016956  0.01222584]
 [-0.76849199  0.63162951 -0.10229481 -0.68992919]
 [-0.08551451  0.05705189  0.99470214  0.81965685]
 [ 0.          0.          0.          1.        ]]","[[ 0.62931844  0.77191433  0.09003642 -0.07471021]
 [-0.76946877  0.63515053 -0.06709407 -0.70400041]
 [-0.10897756 -0.02705668  0.99367592  0.78171437]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,23,28,7,30,0.5329113536984375,0.5614408464055285,0.0194083168752852,0.018904069658542428,"[[ 0.64519    -0.74953005  0.14810328  0.18647818]
 [ 0.76371232  0.63821534 -0.09708073  0.89028596]
 [-0.02175686  0.17574381  0.98419548  0.66329766]
 [ 0.          0.          0.          1.        ]]","[[ 0.62860914 -0.76486786  0.14081087  0.17393684]
 [ 0.77680712  0.6087167  -0.16135265  0.99043648]
 [ 0.03769953  0.21081064  0.97679968  0.75571339]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,31,34,20,30,0.6106543881986214,0.6315746147429424,0.021915001605886098,0.02164071259981785,"[[ 0.87738932 -0.33570456  0.34276877 -1.02245115]
 [ 0.27384656  0.93703095  0.21675113 -0.26490865]
 [-0.39394929 -0.09630907  0.91407249  0.17327025]
 [ 0.          0.          0.          1.        ]]","[[ 0.89563104 -0.29808416  0.33013765 -1.01105102]
 [ 0.25231294  0.95172297  0.17481869 -0.23860971]
 [-0.36631027 -0.07327505  0.92760312  0.14124269]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,8,15,62,30,0.6396717919361234,0.6486015080635784,0.015230577225870172,0.012749721648786948,"[[ 0.93502717 -0.23017783  0.26970792  0.11989615]
 [ 0.18075189  0.96381727  0.19592096 -0.20123965]
 [-0.30504581 -0.13444121  0.94280041  0.7149152 ]
 [ 0.          0.          0.          1.        ]]","[[ 0.91722607 -0.28054341  0.28282808  0.10914116]
 [ 0.22396048  0.95029245  0.21630065 -0.25253565]
 [-0.32945111 -0.13505428  0.93446365  0.75284185]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,23,29,4,30,0.5458992401916561,0.5922194823680359,0.018549445490268983,0.01754130034340511,"[[ 0.64314495  0.75097459  0.14967212 -0.14758507]
 [-0.66344949  0.44888084  0.59861571 -0.61899816]
 [ 0.38236024 -0.48429656  0.78692915  0.87762581]
 [ 0.          0.          0.          1.        ]]","[[ 0.65067434  0.7378077   0.1796182  -0.16089203]
 [-0.70948552  0.50637992  0.4901119  -0.45138434]
 [ 0.27065328 -0.44633975  0.8529523   0.77262797]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,25,27,3,30,0.20419766805502756,0.23046651432295476,0.022465966547620685,0.02186874540600948,"[[-0.44614638 -0.85749804  0.25622356 -0.68561177]
 [-0.81288134  0.50803768  0.28481863 -1.75494905]
 [-0.37440264 -0.08120855 -0.92370332  3.73979363]
 [ 0.          0.          0.          1.        ]]","[[-0.59561798 -0.75513718  0.27387418 -0.84446993]
 [-0.69158439  0.6555087   0.30334695 -1.82328193]
 [-0.40859547 -0.00872821 -0.91267385  3.64912048]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,21,28,24,30,0.9497660765067425,0.9681252484481546,0.015581931201237615,0.01181992318043497,"[[ 0.69763374 -0.31646716  0.64277189  0.14043108]
 [ 0.45449787  0.88901166 -0.05558745 -0.38201379]
 [-0.5538401   0.33091813  0.76403817  0.58112519]
 [ 0.          0.          0.          1.        ]]","[[ 0.6466098  -0.37814228  0.66249844  0.07833069]
 [ 0.49260172  0.87011042  0.01585579 -0.48769381]
 [-0.58244254  0.31609536  0.74889546  0.58696937]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,31,33,10,30,0.4883690414956489,0.533822155506335,0.023150617694812838,0.02304111753831121,"[[ 0.82881382  0.55767048  0.04551151 -0.49048427]
 [-0.34767024  0.57702252 -0.73903343  0.41541149]
 [-0.43839829  0.59669812  0.67212967 -0.05820009]
 [ 0.          0.          0.          1.        ]]","[[ 0.84754601  0.52799353  0.05374564 -0.48825465]
 [-0.36521187  0.65371172 -0.66278298  0.21511418]
 [-0.38507928  0.54211052  0.74688026 -0.12129655]
 [ 0.          0.          0.          1.        ]]"
