Scene,Mean RANSAC Iterations,STD RANSAC Iterations,Mean ICP Iterations,STD ICP Iterations,RANSAC: Mean Fitness,RANSAC: STD Fitness,ICP: Mean Fitness,ICP: STD Fitness,RANSAC: Mean Inlier RMSE,RANSAC: STD Inlier RMSE,ICP: Mean Inlier RMSE,ICP: STD Inlier RMSE
7-scenes-redkitchen,67.45454545454545,103.8319446378268,30.0,0.0,0.6805565969892154,0.20835875407989174,0.7080949987112938,0.1892906926354549,0.01884734604623482,0.0028108773196051837,0.016501936736171223,0.003479920331328658
sun3d-home_at-home_at_scan1_2013_jan_1,219.66666666666666,538.4083163840572,30.0,0.0,0.6675015616537121,0.1783289350273542,0.6980573320724118,0.16785183479421936,0.019220655282753588,0.004067874549296729,0.01753257956685175,0.0042162826053185574
sun3d-home_md-home_md_scan9_2012_sep_30,184.07142857142858,576.8595968738792,30.0,0.0,0.5382019151395426,0.3158453102923684,0.5579707992627829,0.31507831813441123,0.01896526526921295,0.004242689654263894,0.017390234282870974,0.004809781758078793
sun3d-hotel_uc-scan3,123.16666666666667,361.7319030676859,30.0,0.0,0.640599339120326,0.23954844397192235,0.6711465727509119,0.22965455817145386,0.019764212914625667,0.003995573782420526,0.018187734139392762,0.0042125437798108106
sun3d-hotel_umd-maryland_hotel1,14.76923076923077,18.303705663762216,30.0,0.0,0.5367358298874687,0.24607377958029555,0.5622560725455208,0.24882036081865114,0.020257019545812625,0.0034105420087753983,0.0187380865756141,0.004530493948954175
sun3d-hotel_umd-maryland_hotel3,30.5,61.71709649683789,30.0,0.0,0.6098176119378136,0.19135812089070275,0.6573472515686574,0.1981364305424452,0.020570816699312666,0.0030661925571774085,0.01803711284475947,0.004392123399840714
sun3d-mit_76_studyroom-76-1studyroom2,30.454545454545453,71.13418817469365,30.0,0.0,0.5851191731769814,0.15499039526194816,0.6415059914815063,0.15659664195889778,0.01952147269806895,0.0033703847082912,0.016678461187619207,0.0027084975950010175
sun3d-mit_lab_hj-lab_hj_tea_nov_2_2012_scan1_erika,166.83333333333334,487.0541939854208,30.0,0.0,0.6538922115859367,0.2054829862253213,0.6930347783705577,0.18295616594888567,0.019141696584369917,0.0038835915385449153,0.017170940409861,0.003172066510770314
TOTAL,104.61455211455213,358.11762187814264,30.0,0.0,0.6140530299363746,0.22415370808720173,0.6486767245954553,0.21979173484051473,0.0195360606300489,0.0035739501464826144,0.01752963571789256,0.003957755125673753
Inter-Scene STD,,79.47278353128218,,0.0,,0.05626186829868243,,0.058875411005079224,,0.0006208182169353225,,0.000763427147853288
