Set: 7-scenes-redkitchen
19 54
17 36
9 54
7 36
6 16
12 14
1 10
14 42
9 17
47 52
18 20
6 19
28 41
16 54
2 26
1 27
49 52
0 2
11 28
8 54
7 39
Set: sun3d-home_at-home_at_scan1_2013_jan_1
13 17
2 36
0 2
1 38
12 21
14 20
4 6
1 37
24 31
13 15
53 55
12 18
42 46
43 47
2 38
41 46
25 28
2 37
34 37
8 10
13 16
Set: sun3d-home_md-home_md_scan9_2012_sep_30
39 46
5 45
56 58
39 41
29 42
26 51
8 37
17 56
21 57
5 40
8 35
4 7
23 57
54 58
29 45
20 54
10 33
39 47
7 46
29 50
9 36
Set: sun3d-hotel_uc-scan3
0 36
34 47
8 36
19 35
37 41
35 54
5 7
10 44
8 39
23 49
1 54
4 10
43 54
49 51
26 28
16 48
5 39
15 49
13 26
11 34
2 44
Set: sun3d-hotel_umd-maryland_hotel1
5 18
1 15
27 32
24 26
12 16
13 22
26 29
18 22
39 56
20 30
10 26
16 23
5 11
5 13
1 16
20 31
28 32
2 15
45 47
50 54
13 18
Set: sun3d-hotel_umd-maryland_hotel3
33 36
32 34
11 13
10 15
24 27
24 28
23 29
25 27
17 19
22 29
8 15
31 34
31 33
8 16
34 36
33 35
10 14
8 10
23 28
10 16
28 30
Set: sun3d-mit_76_studyroom-76-1studyroom2
13 15
11 53
7 37
12 54
14 57
8 47
12 55
39 43
9 51
18 64
36 52
3 47
4 46
13 56
39 47
59 61
1 6
1 5
6 36
6 47
59 62
Set: sun3d-mit_lab_hj-lab_hj_tea_nov_2_2012_scan1_erika
34 36
31 33
1 6
19 21
4 7
9 11
14 17
31 36
1 8
32 34
31 35
1 27
32 35
1 10
0 28
5 7
0 8
34 37
22 24
32 36
15 17
