Scene,Target,Source,RANSAC Iterations,ICP Iterations,RANSAC: Fitness,ICP: Fitness,RANSAC: Inlier RMSE,ICP: Inlier RMSE,Initial Guess,Transformation
sun3d-hotel_umd-maryland_hotel3,11,13,1,30,0.4662405047251289,0.48656322735973,0.02211997996367884,0.02161345767925162,"[[ 0.69635946 -0.29252655  0.65537144 -0.85870109]
 [ 0.29856581  0.94847156  0.10611385 -0.97883897]
 [-0.6526423   0.12177812  0.74781557  0.1313498 ]
 [ 0.          0.          0.          1.        ]]","[[ 0.71666443 -0.23251273  0.65751801 -0.88715189]
 [ 0.26070887  0.9637543   0.05664388 -0.84594133]
 [-0.64685623  0.13082612  0.75130656  0.10227724]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,10,15,4,30,0.5034839309832825,0.5171990208618443,0.01916486469750522,0.018642526745405,"[[ 0.85667877 -0.3011509   0.41881932 -1.48479706]
 [ 0.29891528  0.95150214  0.07275535 -0.15990393]
 [-0.42041782  0.06286353  0.90515028  0.9267952 ]
 [ 0.          0.          0.          1.        ]]","[[ 0.87375109 -0.3204835   0.36585429 -1.3877353 ]
 [ 0.29955433  0.94720444  0.11432825 -0.23724693]
 [-0.38317912  0.0096988   0.92362313  0.86481507]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,24,28,219,30,0.819527260495979,0.8220285600709415,0.017267261452550486,0.014757477605458659,"[[ 0.97241599 -0.13559767  0.18979047  0.15305496]
 [ 0.10319817  0.97980261  0.17128042  0.0385695 ]
 [-0.20918242 -0.14696979  0.96676915  0.09327743]
 [ 0.          0.          0.          1.        ]]","[[ 0.95898371 -0.15499583  0.23733212  0.07434474]
 [ 0.11311449  0.97696204  0.18097042  0.04820224]
 [-0.25991413 -0.14670199  0.95442295  0.04991542]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,23,29,1,30,0.6579108277700928,0.6979060163188389,0.022433615132014504,0.021037221320401117,"[[ 0.77522959  0.53166436  0.34110423 -0.11475838]
 [-0.61311317  0.7632667   0.20375521  0.08077986]
 [-0.15202411 -0.36709256  0.91767735  0.4813174 ]
 [ 0.          0.          0.          1.        ]]","[[ 0.76819701  0.56619119  0.29883254 -0.04039611]
 [-0.63876239  0.70924683  0.29824746 -0.04631039]
 [-0.04308095 -0.41999579  0.90650293  0.54439582]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,25,27,2,30,0.20133600143709973,0.2165592323213756,0.02425052283239907,0.02289150624915209,"[[-0.29807836 -0.86185708  0.4103068  -0.84157278]
 [-0.90245312  0.39450271  0.17304908 -1.52877486]
 [-0.31101072 -0.31870046 -0.89537833  3.84738209]
 [ 0.          0.          0.          1.        ]]","[[-0.44996747 -0.81233891  0.3709916  -0.85673549]
 [-0.83007159  0.5336743   0.16178043 -1.53520247]
 [-0.32940922 -0.23515365 -0.91443552  3.83535078]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,17,19,11,30,0.7316229049917258,0.8591618670687815,0.019917624268566476,0.013015886928476154,"[[ 0.9491316   0.1015259  -0.29806326 -0.00645679]
 [-0.1439086   0.98181301 -0.12382859 -1.07812207]
 [ 0.28007058  0.16042349  0.9464802   0.74638051]
 [ 0.          0.          0.          1.        ]]","[[ 0.94224459  0.16956806 -0.28882835 -0.06420136]
 [-0.23816195  0.94555251 -0.22183176 -0.80920987]
 [ 0.23548679  0.27780769  0.9313264   0.80305884]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,22,29,26,30,0.9108979370902749,0.9615434734668511,0.015729565286997507,0.012404591242417511,"[[ 0.95426532  0.1198761  -0.27387483 -0.00462565]
 [-0.08875877  0.98838503  0.12335682 -0.37162579]
 [ 0.28548131 -0.09340634  0.95382162  0.93359542]
 [ 0.          0.          0.          1.        ]]","[[ 0.96057348  0.15140595 -0.23318412  0.01837319]
 [-0.12356963  0.98381556  0.12975933 -0.36250462]
 [ 0.2490565  -0.0958289   0.96373631  0.94647116]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,8,15,62,30,0.6244540052534757,0.6524417332295757,0.01729496703764496,0.01376980508538287,"[[ 0.93076331 -0.22036866  0.29174871  0.05480804]
 [ 0.20714546  0.97536347  0.07587403 -0.01876973]
 [-0.30128129 -0.01018634  0.9534809   0.7293128 ]
 [ 0.          0.          0.          1.        ]]","[[ 0.91986846 -0.26593069  0.28831038  0.09562752]
 [ 0.22639807  0.9602372   0.16336592 -0.17807382]
 [-0.32029037 -0.08500225  0.94349812  0.75649096]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,31,34,13,30,0.6294946656715107,0.6603755981911578,0.023431953880254222,0.02267372234352163,"[[ 0.93826728 -0.1933481   0.28682927 -0.97159639]
 [ 0.16858546  0.97965283  0.10890031 -0.1545162 ]
 [-0.30204877 -0.05382235  0.95177187  0.20249416]
 [ 0.          0.          0.          1.        ]]","[[ 0.92725372 -0.21040082  0.30972897 -0.99203946]
 [ 0.18152193  0.9760836   0.11962687 -0.19747392]
 [-0.32749096 -0.05470186  0.94326952  0.16583745]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,31,33,12,30,0.5439047689029319,0.6034399504529565,0.025311745272080504,0.023669010635535503,"[[ 0.93650319  0.33084393  0.11620703 -0.5283858 ]
 [-0.19879671  0.77391796 -0.60127436  0.17889623]
 [-0.28886268  0.53999377  0.79054733 -0.19603379]
 [ 0.          0.          0.          1.        ]]","[[ 0.93493663  0.34581105  0.0794243  -0.44437514]
 [-0.24626701  0.7935956  -0.55637989  0.01744391]
 [-0.25543308  0.50062035  0.82712345 -0.19635185]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,33,35,5,30,0.46076078357758676,0.6076614687386868,0.02156411146191524,0.019061890273869515,"[[-0.4878769  -0.64225705  0.59117003 -1.52530723]
 [ 0.24234795 -0.75027394 -0.61510689  1.43051497]
 [ 0.83859621 -0.1568276   0.52169101  0.75478091]
 [ 0.          0.          0.          1.        ]]","[[-0.70193223 -0.52786325  0.4781752  -1.26044347]
 [ 0.24449287 -0.80914696 -0.53432615  1.26597193]
 [ 0.66896515 -0.25815032  0.69702513  0.45088601]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,10,14,10,30,0.7681777523546747,0.8032868707431491,0.018363589106144943,0.012908258028241993,"[[ 0.7710848  -0.34213343  0.53700368 -0.39194171]
 [ 0.40656046  0.9136223  -0.00169805 -0.01558075]
 [-0.49003758  0.2196338   0.84357819  0.26316273]
 [ 0.          0.          0.          1.        ]]","[[ 0.76683134 -0.29890341  0.56800216 -0.46331751]
 [ 0.33907003  0.9400364   0.03691986 -0.16150213]
 [-0.54497818  0.16428121  0.82219856  0.30430796]
 [ 0.          0.          0.          1.        ]]"
sun3d-home_md-home_md_scan9_2012_sep_30,39,46,2185,30,0.9444193112118557,0.9463574802849632,0.013033442430800578,0.012475730436065086,"[[ 9.99704731e-01  2.42070539e-02 -2.11418136e-03 -1.40755425e-02]
 [-2.42932564e-02  9.97594547e-01 -6.49227090e-02 -7.26588227e-02]
 [ 5.37508275e-04  6.49548997e-02  9.97888056e-01 -2.29611429e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","[[ 0.99937607  0.03486979  0.00561836 -0.04459205]
 [-0.0344445   0.99739613 -0.06336039 -0.07158893]
 [-0.0078131   0.06312734  0.9979749  -0.24735588]
 [ 0.          0.          0.          1.        ]]"
sun3d-home_md-home_md_scan9_2012_sep_30,56,58,37,30,0.7194375988648785,0.7299028493452006,0.017655664047790592,0.01574504213828675,"[[ 0.93309452  0.00800125  0.3595422  -0.76664306]
 [-0.03116294  0.9977909   0.05867015 -0.09230717]
 [-0.3582785  -0.06594918  0.93128257 -0.41013975]
 [ 0.          0.          0.          1.        ]]","[[ 0.93399618 -0.02810487  0.35617587 -0.79337815]
 [ 0.00491567  0.99781777  0.06584478 -0.09347704]
 [-0.35724918 -0.05974793  0.93209614 -0.42770841]
 [ 0.          0.          0.          1.        ]]"
sun3d-home_md-home_md_scan9_2012_sep_30,39,41,79,30,0.7841274912573752,0.7939900749070173,0.016020844956301006,0.013133964327583304,"[[ 0.99431675 -0.04806799  0.09499295  0.060791  ]
 [ 0.02963464  0.98197006  0.18669918 -0.24770983]
 [-0.10225449 -0.18282304  0.97781376  0.46483066]
 [ 0.          0.          0.          1.        ]]","[[ 0.98721936 -0.04413051  0.15313531 -0.09051065]
 [ 0.01427566  0.98152058  0.19082336 -0.23127524]
 [-0.15872659 -0.18619841  0.96960612  0.47741916]
 [ 0.          0.          0.          1.        ]]"
sun3d-home_md-home_md_scan9_2012_sep_30,29,42,5,30,0.12189264923466406,0.12803804803430735,0.021371606676466873,0.019400420425955318,"[[ 0.93325982  0.34264415 -0.10780118  0.26503038]
 [-0.29030663  0.89623027  0.3354003  -0.3153648 ]
 [ 0.21153764 -0.28172022  0.93588757  0.8538564 ]
 [ 0.          0.          0.          1.        ]]","[[ 0.96007483  0.23981667 -0.14402879  0.39250656]
 [-0.19108649  0.93823141  0.28845759 -0.24879743]
 [ 0.20430927 -0.24941892  0.94659808  0.78754321]
 [ 0.          0.          0.          1.        ]]"
sun3d-home_md-home_md_scan9_2012_sep_30,8,37,26,30,0.9417014880288832,0.9691750034162093,0.016120476428748635,0.011493284998825298,"[[ 0.82208492 -0.38765363  0.41701444 -1.45868565]
 [ 0.2429611   0.90123294  0.35881625 -0.72109954]
 [-0.51492357 -0.19365914  0.83507476  1.01070807]
 [ 0.          0.          0.          1.        ]]","[[ 0.79956926 -0.42289165  0.42644067 -1.45846504]
 [ 0.30664806  0.89799208  0.31555854 -0.63641127]
 [-0.51638742 -0.1215437   0.84768577  1.01797702]
 [ 0.          0.          0.          1.        ]]"
sun3d-home_md-home_md_scan9_2012_sep_30,17,56,15,30,0.1885984228849461,0.22257875089132168,0.024013515507681864,0.024633040219708354,"[[ 0.91733356 -0.12758168  0.3771234  -0.1713013 ]
 [-0.06740565  0.88381402  0.46295707 -0.91416711]
 [-0.39237179 -0.45010631  0.80215254 -0.26890241]
 [ 0.          0.          0.          1.        ]]","[[ 0.93755028  0.01467467  0.34754011 -0.17712486]
 [-0.15026762  0.91816169  0.36660436 -0.84717872]
 [-0.31371822 -0.39593405  0.86302787 -0.30899289]
 [ 0.          0.          0.          1.        ]]"
sun3d-home_md-home_md_scan9_2012_sep_30,21,57,8,30,0.08978429427112042,0.10339911071914158,0.024174572625194384,0.022725431808451838,"[[-0.04646344 -0.9974733  -0.05374161  0.06198009]
 [ 0.96497643 -0.05872511  0.25567919  0.37675875]
 [-0.25818915 -0.03997966  0.9652668  -1.3135835 ]
 [ 0.          0.          0.          1.        ]]","[[-0.15020772 -0.9862613   0.06874795 -0.26104967]
 [ 0.95520109 -0.12683793  0.26740049  0.28408389]
 [-0.25500691  0.10583373  0.96112991 -1.26064557]
 [ 0.          0.          0.          1.        ]]"
sun3d-home_md-home_md_scan9_2012_sep_30,8,35,7,30,0.7725719626395101,0.7817421543578135,0.013213879542502124,0.012414924989785319,"[[ 0.9967869  -0.07154758 -0.03601135 -1.16294936]
 [ 0.07699012  0.97985044  0.18429768 -0.41954514]
 [ 0.02209968 -0.18647803  0.98221054 -0.11994797]
 [ 0.          0.          0.          1.        ]]","[[ 0.99728873 -0.06956585 -0.02399562 -1.17872829]
 [ 0.0721352   0.98864052  0.13185766 -0.29330277]
 [ 0.01455026 -0.13323109  0.99097819 -0.11424568]
 [ 0.          0.          0.          1.        ]]"
sun3d-home_md-home_md_scan9_2012_sep_30,4,7,7,30,0.6039987822062005,0.7035776734211114,0.020713265162034936,0.014984178670292636,"[[ 0.95983664 -0.07128492 -0.27135231 -0.13624572]
 [ 0.00894796  0.97446886 -0.22434433  0.04378166]
 [ 0.28041675  0.21290586  0.93596877  0.2711306 ]
 [ 0.          0.          0.          1.        ]]","[[ 0.95252857 -0.00849865 -0.30433056 -0.06704935]
 [-0.03544971  0.98971475 -0.13859306 -0.13968351]
 [ 0.3023783   0.14280228  0.9424303   0.32763487]
 [ 0.          0.          0.          1.        ]]"
sun3d-home_md-home_md_scan9_2012_sep_30,23,57,10,30,0.16329327894756182,0.18156395840223422,0.023614355293698795,0.022893520634057647,"[[-0.82139703 -0.55728349 -0.12141672 -0.47708987]
 [ 0.32435744 -0.28131164 -0.90313676  2.05654059]
 [ 0.46914727 -0.78121627  0.41182759 -0.13358021]
 [ 0.          0.          0.          1.        ]]","[[-0.79260359 -0.53559434 -0.29140738 -0.13145979]
 [ 0.43324929 -0.15841432 -0.8872429   2.10740983]
 [ 0.42903917 -0.82948394  0.35760562 -0.04499711]
 [ 0.          0.          0.          1.        ]]"
sun3d-home_md-home_md_scan9_2012_sep_30,54,58,15,30,0.5303570337481415,0.538256040516779,0.01637002224466622,0.01619638628246045,"[[ 0.97670651  0.06056096  0.20585616 -0.55329382]
 [ 0.0504142   0.86772944 -0.49447348  0.16759586]
 [-0.20857325  0.49333354  0.84446387 -0.65664273]
 [ 0.          0.          0.          1.        ]]","[[ 0.97452266  0.04317429  0.22009445 -0.56159353]
 [ 0.07320713  0.86632681 -0.49408357  0.17758815]
 [-0.21200543  0.49760812  0.84109444 -0.64511701]
 [ 0.          0.          0.          1.        ]]"
sun3d-home_md-home_md_scan9_2012_sep_30,20,54,47,30,0.26301435370947374,0.2810965905270001,0.02103551322304815,0.02042018751688327,"[[ 0.9554363  -0.28706842 -0.06879821  0.02416305]
 [ 0.2950254   0.93653854  0.1893557  -0.28731802]
 [ 0.01007413 -0.20121453  0.97949539 -0.18120037]
 [ 0.          0.          0.          1.        ]]","[[ 0.94335614 -0.32914572  0.04174076 -0.03728165]
 [ 0.32710959  0.94372075  0.04889237 -0.1136464 ]
 [-0.05548433 -0.03246912  0.99793148 -0.19801794]
 [ 0.          0.          0.          1.        ]]"
sun3d-home_md-home_md_scan9_2012_sep_30,39,47,121,30,0.859600086851819,0.8599672331773949,0.013934165849122944,0.0128947133599734,"[[ 0.99452632 -0.01192585  0.10380351  0.02960981]
 [-0.00718351  0.98331014  0.18179539 -0.1820633 ]
 [-0.10423911 -0.18154597  0.97784215  0.42720866]
 [ 0.          0.          0.          1.        ]]","[[ 0.99040166 -0.01071541  0.13780325 -0.04643591]
 [-0.01210972  0.9864297   0.16373698 -0.14629036]
 [-0.13768773 -0.16383414  0.97683185  0.42335302]
 [ 0.          0.          0.          1.        ]]"
sun3d-home_md-home_md_scan9_2012_sep_30,9,36,15,30,0.5520300580971673,0.5719462216784666,0.024242389780924203,0.024052454151864973,"[[-0.79263777 -0.39073834 -0.46802661  0.08208709]
 [ 0.48549726 -0.86885717 -0.09684846  0.15484257]
 [-0.36880587 -0.30399139  0.87839141  0.45432997]
 [ 0.          0.          0.          1.        ]]","[[-0.78994579 -0.42007062 -0.4466837   0.03110047]
 [ 0.47933648 -0.87733958 -0.02262284  0.01356873]
 [-0.38239011 -0.23198261  0.89440588  0.40156823]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel1,5,18,44,30,0.5106933907905158,0.5177975519572802,0.016024249485521603,0.013617751851804697,"[[ 0.86904176 -0.26853729  0.41551671  0.02745603]
 [ 0.31598502  0.94752294 -0.04851536  0.27026892]
 [-0.38068343  0.17345893  0.90829077 -0.2493912 ]
 [ 0.          0.          0.          1.        ]]","[[ 0.87790042 -0.23740738  0.41584684  0.03274884]
 [ 0.27297602  0.9616338  -0.02728602  0.17768453]
 [-0.39341447  0.13747063  0.90902524 -0.25803759]
 [ 0.          0.          0.          1.        ]]"
