Scene,Mean RANSAC Iterations,STD RANSAC Iterations,Mean ICP Iterations,STD ICP Iterations,RANSAC: Mean Fitness,RANSAC: STD Fitness,ICP: Mean Fitness,ICP: STD Fitness,RANSAC: Mean Inlier RMSE,RANSAC: STD Inlier RMSE,ICP: Mean Inlier RMSE,ICP: STD Inlier RMSE
7-scenes-redkitchen,1.0,1.0,30.0,0.0,0.548955021653843,0.059069307533745945,0.6882081527446274,0.14335202576780687,0.023887617906590358,0.002489110129331591,0.01954970647727716,0.0007299894473285629
sun3d-home_at-home_at_scan1_2013_jan_1,2.0,1.8973665961010275,30.0,0.0,0.5346327732341863,0.07579536355003777,0.6104822259711343,0.09424579521002653,0.02276333453827201,0.0007305403632598329,0.021349027701879738,0.0015684355421932204
sun3d-home_md-home_md_scan9_2012_sep_30,6.833333333333333,10.962055768270233,30.0,0.0,0.47625124231217303,0.2757035111835814,0.5477668758848405,0.28777104992259783,0.023588884850115732,0.00248608679457194,0.021998182052429066,0.002659859030187971
sun3d-hotel_uc-scan3,2.5,3.5355339059327378,30.0,0.0,0.5578032342634255,0.2002294808078822,0.6855614036723701,0.29261119578195893,0.02366232707865689,0.000962628648459732,0.01938208676289534,0.004734633115564845
sun3d-hotel_umd-maryland_hotel1,0.5,0.7071067811865476,30.0,0.0,0.31527655680835853,0.30283744964098985,0.42340666078154837,0.3691862895700441,0.02534287424183845,0.002247781283833975,0.02277526558564418,0.002742954473274279
sun3d-hotel_umd-maryland_hotel3,3.4,2.8809720581775866,30.0,0.0,0.5365348413441912,0.10832573112653646,0.5954992809928824,0.12775313871875232,0.022259249496016435,0.0013343300083526503,0.020794422247482208,0.0024403313963138732
sun3d-mit_76_studyroom-76-1studyroom2,0.0,0.0,30.0,0.0,0.45359393219185806,0.09700278455842837,0.5246175375759864,0.10689554758292845,0.021639867844616873,0.00207363379218524,0.01960446381004118,0.0010842352777377191
sun3d-mit_lab_hj-lab_hj_tea_nov_2_2012_scan1_erika,1.2857142857142858,1.3801311186847085,30.0,0.0,0.5863138445260488,0.22427846504394283,0.690279823622685,0.2822946103057325,0.02345512003133143,0.0019952247847931873,0.01876982539423678,0.003911737990176765
TOTAL,2.1898809523809524,5.045956359236833,30.0,0.0,0.5011701807917606,0.17941930455048571,0.5957277451557593,0.21163080654608593,0.023324909498429774,0.0018813454046500973,0.020527872503985703,0.0027733025749345458
Inter-Scene STD,,2.172650684701161,,0.0,,0.08664495196594363,,0.09474176719292392,,0.0011262880818094425,,0.0014228230214691495
