Set: 7-scenes-redkitchen
10 37
15 39
10 41
6 53
7 39
9 19
6 8
25 59
16 25
3 5
6 24
1 26
30 41
24 35
35 56
47 50
10 18
9 25
36 53
16 56
25 53
Set: sun3d-home_at-home_at_scan1_2013_jan_1
16 19
48 50
2 36
1 37
14 16
11 15
13 15
12 17
13 18
31 47
45 47
34 36
33 36
41 47
13 16
12 14
12 15
42 45
17 22
43 47
15 18
Set: sun3d-home_md-home_md_scan9_2012_sep_30
21 58
13 16
41 48
29 42
39 46
3 6
39 45
52 59
18 57
4 6
20 22
18 23
3 41
22 54
2 5
10 35
9 32
47 50
29 50
28 51
23 56
Set: sun3d-hotel_uc-scan3
32 53
8 41
12 47
1 3
13 25
0 19
14 25
16 51
14 16
47 53
31 48
0 36
7 38
10 19
4 36
13 51
9 20
2 35
0 35
19 35
6 9
Set: sun3d-hotel_umd-maryland_hotel1
46 56
10 29
13 29
20 30
5 18
27 29
3 16
21 30
49 51
33 35
39 56
1 14
3 17
29 32
5 17
0 14
13 27
0 26
5 32
7 19
24 26
Set: sun3d-hotel_umd-maryland_hotel3
33 36
8 15
17 19
23 28
23 29
0 12
25 27
10 16
11 13
10 14
10 15
21 28
8 16
32 35
33 35
32 34
34 36
8 10
32 36
31 33
24 28
Set: sun3d-mit_76_studyroom-76-1studyroom2
35 37
36 47
33 65
6 48
63 65
1 35
19 21
0 38
27 31
36 46
21 65
8 51
8 39
3 48
1 47
2 48
7 48
39 48
10 54
5 7
3 45
Set: sun3d-mit_lab_hj-lab_hj_tea_nov_2_2012_scan1_erika
33 37
4 7
0 27
2 8
14 16
22 24
14 17
9 11
6 8
32 36
32 35
34 36
3 5
31 33
35 37
0 10
0 8
0 9
34 37
26 28
1 8
