Scene,Target,Source,RANSAC Iterations,ICP Iterations,RANSAC: Fitness,ICP: Fitness,RANSAC: Inlier RMSE,ICP: Inlier RMSE,Initial Guess,Transformation
sun3d-hotel_umd-maryland_hotel3,17,19,1,30,0.457056941722785,0.4777177921607479,0.02382313271976475,0.02326964628014409,"[[ 0.81027845 -0.45215362 -0.372835    0.41758491]
 [-0.57015446 -0.75534973 -0.3230645   0.31682513]
 [-0.13554603  0.47434574 -0.86984102  4.05374993]
 [ 0.          0.          0.          1.        ]]","[[ 0.8539036  -0.4150374  -0.31399457  0.27872657]
 [-0.51291249 -0.77332493 -0.37267859  0.41733334]
 [-0.08814428  0.47928332 -0.87322281  4.02857736]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,23,28,8,30,0.4225846305905609,0.4414504571287373,0.0233087375830719,0.02285693737678784,"[[-0.27822762 -0.94905502  0.1479323  -0.39226172]
 [-0.95987457  0.28034862 -0.00674196 -0.0567295 ]
 [-0.03507413 -0.14387225 -0.98897451  3.19615239]
 [ 0.          0.          0.          1.        ]]","[[-2.97242486e-01 -9.47397558e-01  1.18679276e-01 -3.49520198e-01]
 [-9.54797960e-01  2.95298786e-01 -3.40511932e-02 -2.21949387e-03]
 [-2.78582879e-03 -1.23436192e-01 -9.92348601e-01  3.17959716e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
sun3d-hotel_umd-maryland_hotel3,0,12,1,30,0.6358248734935132,0.6843624044623581,0.020475292191828712,0.018989654576473215,"[[ 0.98981232 -0.13580892  0.04274934 -0.52077852]
 [ 0.12477833  0.97203728  0.19893186 -0.28724526]
 [-0.06857067 -0.19157102  0.97908049  0.2830161 ]
 [ 0.          0.          0.          1.        ]]","[[ 0.99590071 -0.09004641  0.00856859 -0.4290373 ]
 [ 0.0876889   0.98436397  0.15276857 -0.19706455]
 [-0.02219087 -0.15139096  0.98822484  0.24781341]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,32,34,3,30,0.5019124804594388,0.6479650099227247,0.02199965993534234,0.017632328848123064,"[[ 0.89357005  0.38087397 -0.23762909  0.02216664]
 [-0.28271936  0.88861524  0.36115471 -0.20108656]
 [ 0.34871526 -0.25553468  0.90172041  0.03765946]
 [ 0.          0.          0.          1.        ]]","[[ 0.7786256   0.49677331 -0.38335159  0.29904748]
 [-0.34293604  0.84851021  0.40302021 -0.2596547 ]
 [ 0.52548743 -0.18233678  0.83103325  0.08803732]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,24,28,4,30,0.6652952804546578,0.7260007412898444,0.02168942505007447,0.021223544155882824,"[[ 0.82548432 -0.55066012  0.12389134  0.31837566]
 [ 0.47349246  0.79507813  0.37901933 -0.08042915]
 [-0.30721413 -0.2542129   0.91705795  0.01071313]
 [ 0.          0.          0.          1.        ]]","[[ 0.85194232 -0.48078193  0.20746815  0.20228615]
 [ 0.39496473  0.85014209  0.34822592 -0.05949448]
 [-0.34379813 -0.21472579  0.91416392  0.00415167]
 [ 0.          0.          0.          1.        ]]"
sun3d-home_md-home_md_scan9_2012_sep_30,52,59,1,30,0.4366668166209306,0.5219533042422061,0.02280916775691232,0.021426375690635092,"[[-0.62218023 -0.78268124  0.01737353 -1.01641478]
 [ 0.74427011 -0.58447181  0.32319453 -0.04611971]
 [-0.24280396  0.21401585  0.94617306  0.30367685]
 [ 0.          0.          0.          1.        ]]","[[-0.58700911 -0.79641896  0.14538621 -1.26520256]
 [ 0.80011776 -0.54333989  0.2541522   0.15750524]
 [-0.1234175   0.26551574  0.95617441  0.30602207]
 [ 0.          0.          0.          1.        ]]"
sun3d-home_md-home_md_scan9_2012_sep_30,20,22,29,30,0.9029140872716291,0.9484221651819417,0.019581346532679712,0.01779409178529553,"[[ 0.97091735 -0.07590104  0.22706502 -0.00418207]
 [ 0.03777127  0.98510031  0.16778171  0.00419248]
 [-0.23641663 -0.15432564  0.95931787  0.01312508]
 [ 0.          0.          0.          1.        ]]","[[ 0.96901089 -0.01822132  0.24634503 -0.01287592]
 [-0.01704786  0.98996467  0.14028303 -0.0390995 ]
 [-0.24642901 -0.14013544  0.95897591  0.05757935]
 [ 0.          0.          0.          1.        ]]"
sun3d-home_md-home_md_scan9_2012_sep_30,18,23,5,30,0.522662620898919,0.6292974993904256,0.026545369072719812,0.024306318711033767,"[[ 0.62200739 -0.27818565  0.73192866 -0.76802463]
 [-0.41680476  0.6736893   0.61025939 -0.60538997]
 [-0.66285791 -0.68465719  0.30309062  1.02140522]
 [ 0.          0.          0.          1.        ]]","[[ 0.73490289 -0.2435224   0.63294121 -0.72581078]
 [-0.29305493  0.72763198  0.62021811 -0.5593682 ]
 [-0.61158527 -0.64128663  0.46337341  0.85293539]
 [ 0.          0.          0.          1.        ]]"
sun3d-home_md-home_md_scan9_2012_sep_30,22,54,2,30,0.1898033888071248,0.2276236839126005,0.024874866691677315,0.02472841475438033,"[[ 5.21290294e-01 -3.29687504e-01 -7.87122976e-01  7.07694258e-01]
 [ 8.10415808e-01  4.80225746e-01  3.35573316e-01 -6.25585746e-02]
 [ 2.67362390e-01 -8.12828015e-01  5.17520985e-01 -4.15516769e-04]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","[[ 0.70392001 -0.32129252 -0.63345697  0.56805949]
 [ 0.62149669  0.7103709   0.33032567 -0.06855648]
 [ 0.34385823 -0.62621426  0.69972653 -0.13679146]
 [ 0.          0.          0.          1.        ]]"
sun3d-home_md-home_md_scan9_2012_sep_30,10,35,1,30,0.6279379130242879,0.7389318686168974,0.022502627679018544,0.020357508472991125,"[[-0.19029108 -0.78340305  0.59166627 -1.36042601]
 [ 0.86073824 -0.42298175 -0.2832245  -0.54514683]
 [ 0.47214297  0.45537468  0.75479461 -0.02040353]
 [ 0.          0.          0.          1.        ]]","[[-0.05894332 -0.7251178   0.68609756 -1.59247454]
 [ 0.86696489 -0.37789771 -0.32490798 -0.41303259]
 [ 0.49487126  0.57567134  0.65092622  0.25970373]
 [ 0.          0.          0.          1.        ]]"
