Set: 7-scenes-redkitchen
22 55
0 37
48 54
11 28
18 26
28 41
6 37
18 25
35 56
17 25
4 18
1 29
3 29
53 55
13 29
2 42
53 56
0 26
6 12
15 36
46 51
Set: sun3d-home_at-home_at_scan1_2013_jan_1
1 37
34 37
46 48
13 15
16 18
1 50
44 46
36 48
41 46
11 17
24 31
11 15
2 38
41 45
4 6
53 58
52 55
24 26
12 21
41 43
15 18
Set: sun3d-home_md-home_md_scan9_2012_sep_30
17 56
38 46
17 19
3 40
47 50
54 57
20 54
10 36
27 51
22 58
13 15
18 56
29 41
19 56
29 49
3 41
8 35
7 46
22 57
11 33
19 55
Set: sun3d-hotel_uc-scan3
14 23
41 43
5 37
0 19
0 43
46 52
43 54
31 47
34 47
19 36
33 47
23 50
34 46
31 48
13 26
2 34
1 10
17 21
6 40
0 2
8 39
Set: sun3d-hotel_umd-maryland_hotel1
46 56
14 25
1 16
9 25
13 29
0 24
13 22
24 26
51 54
1 15
27 32
3 16
27 29
28 32
9 26
1 23
19 21
14 24
16 23
13 18
5 13
Set: sun3d-hotel_umd-maryland_hotel3
23 30
8 15
8 16
21 28
31 34
11 13
24 28
10 16
22 29
32 34
24 27
34 36
23 29
0 12
32 35
25 27
31 33
33 35
10 15
32 36
17 19
Set: sun3d-mit_76_studyroom-76-1studyroom2
38 47
29 32
20 22
7 45
30 32
2 49
11 53
36 52
4 46
25 32
17 64
1 49
16 61
1 7
10 53
2 47
29 31
1 5
0 37
0 45
36 49
Set: sun3d-mit_lab_hj-lab_hj_tea_nov_2_2012_scan1_erika
22 24
33 37
0 6
35 37
14 17
5 7
14 16
31 36
3 6
2 5
0 27
1 9
6 8
1 28
32 35
9 11
3 5
0 8
32 36
0 9
0 11
