Scene,Target,Source,RANSAC Iterations,ICP Iterations,RANSAC: Fitness,ICP: Fitness,RANSAC: Inlier RMSE,ICP: Inlier RMSE,Initial Guess,Transformation
sun3d-hotel_umd-maryland_hotel3,23,30,33,25,0.5769405157157275,0.5789832921365297,0.014314784453303935,0.009971130681851641,"[[ 0.8679948  -0.10283177 -0.48580928  0.2490251 ]
 [ 0.17548696  0.97871776  0.10637607  0.10791896]
 [ 0.46453133 -0.17758707  0.86756756  0.65621363]
 [ 0.          0.          0.          1.        ]]","[[ 0.8618888  -0.1144278  -0.4940182   0.27517985]
 [ 0.18722967  0.97718123  0.10030898  0.12582384]
 [ 0.47126718 -0.17895005  0.86364583  0.6495411 ]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,8,15,37,9,0.6116661747123558,0.6098593606979191,0.017049221194096128,0.01266880606218522,"[[ 0.91268772 -0.28081514  0.29689053  0.11473187]
 [ 0.22612451  0.95217927  0.20548077 -0.24875497]
 [-0.34039512 -0.12040555  0.93254151  0.76372326]
 [ 0.          0.          0.          1.        ]]","[[ 0.91373847 -0.28948678  0.28509544  0.13222014]
 [ 0.22633853  0.94539164  0.23453255 -0.28959447]
 [-0.33742092 -0.14977334  0.92936272  0.7715199 ]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,21,28,25,9,0.9457786747393205,0.9479619606763905,0.01261383851781092,0.010240808578607926,"[[ 0.58763202 -0.47329035  0.65626584  0.04667901]
 [ 0.57398373  0.81550048  0.07417312 -0.50478083]
 [-0.57029053  0.33309941  0.75087515  0.57645745]
 [ 0.          0.          0.          1.        ]]","[[ 0.59601203 -0.45748639  0.65990595  0.0517246 ]
 [ 0.55967439  0.82598842  0.06713955 -0.51589531]
 [-0.57579011  0.32931648  0.74834244  0.57450509]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,11,13,69,12,0.7083124920803239,0.7175176567095496,0.016049060257468422,0.014704893980400799,"[[ 0.79180871 -0.09221161  0.60376815 -0.37915194]
 [ 0.32142139  0.90348976 -0.28353931  0.22834629]
 [-0.51935273  0.41857289  0.74502985 -0.41860556]
 [ 0.          0.          0.          1.        ]]","[[ 0.79488599 -0.0960168   0.59911355 -0.36883373]
 [ 0.31507315  0.90915826 -0.27232362  0.19668388]
 [-0.51854139  0.40523083  0.75292948 -0.41966235]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,24,28,20,18,0.7433629942207137,0.7238112711372046,0.015787795185274765,0.011178488113441326,"[[ 0.9514706  -0.16338157  0.26078758  0.03332851]
 [ 0.11133958  0.97278139  0.20322367  0.05026989]
 [-0.28689231 -0.16432537  0.94376373  0.03445034]
 [ 0.          0.          0.          1.        ]]","[[ 0.95594262 -0.18737384  0.22597513  0.06095466]
 [ 0.13489627  0.96409269  0.22875375  0.02077333]
 [-0.26072344 -0.18819225  0.94689332  0.02262651]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,10,16,47,20,0.5584579225853037,0.5564232105412907,0.01619257684450186,0.0130765609491789,"[[ 0.90299538  0.20354106 -0.37837862 -0.06784719]
 [-0.18431398  0.97902841  0.0867856  -0.72772811]
 [ 0.38810785 -0.00862653  0.92157359  1.17938174]
 [ 0.          0.          0.          1.        ]]","[[ 0.90714875  0.20259403 -0.36883168 -0.08792004]
 [-0.19578703  0.97903318  0.05622705 -0.68611084]
 [ 0.37248972  0.02120616  0.927794    1.18081992]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,22,29,26,11,0.9722840360056936,0.968665423708426,0.010315079137038299,0.00890060433572807,"[[ 0.96287212  0.18298116 -0.19848218  0.0735498 ]
 [-0.15708163  0.97770901  0.13932137 -0.35991639]
 [ 0.219551   -0.10297076  0.97015173  0.96804441]
 [ 0.          0.          0.          1.        ]]","[[ 0.96352898  0.17900393 -0.19892085  0.06038723]
 [-0.15170615  0.97773146  0.14500492 -0.36501311]
 [ 0.22044763 -0.10953893  0.96922859  0.95798228]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,32,34,16,30,0.42385410721341704,0.47717544013698027,0.011474034543493035,0.014011905452359773,"[[-0.65302111 -0.41394193  0.63420463 -1.32285752]
 [ 0.47583433  0.4272292   0.76880225 -0.81850199]
 [-0.58919022  0.80382044 -0.0820219   2.05776912]
 [ 0.          0.          0.          1.        ]]","[[-0.66641036 -0.53058499  0.52380989 -1.3764583 ]
 [ 0.319933    0.43108244  0.84368881 -1.11492306]
 [-0.67345386  0.72982703 -0.11752616  1.90848005]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,24,27,24,23,0.35406126890893214,0.37464855809600994,0.015212949848206323,0.014165110992191254,"[[ 0.85264569  0.2154772   0.47598835 -0.10191391]
 [ 0.1733445   0.74274229 -0.64675001  0.02741402]
 [-0.49289656  0.63395857  0.59594422 -0.16735608]
 [ 0.          0.          0.          1.        ]]","[[ 0.84868068  0.18101951  0.49696382 -0.09406943]
 [ 0.20534525  0.75313003 -0.62500279  0.01188422]
 [-0.48741607  0.63247696  0.60199541 -0.16802283]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,34,36,31,20,0.5160077430998598,0.5199957306216312,0.013105497589709738,0.009480003450429722,"[[ 0.97995136  0.13215985 -0.14909426 -0.03633455]
 [-0.18156953  0.90046678 -0.39521143 -0.02219707]
 [ 0.08202335  0.41435896  0.90640986 -0.19540053]
 [ 0.          0.          0.          1.        ]]","[[ 0.98376088  0.1124434  -0.13989647 -0.04548312]
 [-0.16032284  0.90092741 -0.40326962  0.00997429]
 [ 0.08069155  0.41914948  0.90432438 -0.15916586]
 [ 0.          0.          0.          1.        ]]"
