Scene,Mean RANSAC Iterations,STD RANSAC Iterations,Mean ICP Iterations,STD ICP Iterations,RANSAC: Mean Fitness,RANSAC: STD Fitness,ICP: Mean Fitness,ICP: STD Fitness,RANSAC: Mean Inlier RMSE,RANSAC: STD Inlier RMSE,ICP: Mean Inlier RMSE,ICP: STD Inlier RMSE
7-scenes-redkitchen,23.978998384491113,84.42302285028583,29.98389694041868,0.401286176952564,0.6088436215217476,0.16506772351762883,0.6669905632294933,0.164202681933222,0.02097350621120622,0.002762397914581253,0.019057842003820262,0.0031432203107978015
sun3d-home_at-home_at_scan1_2013_jan_1,29.90137614678899,187.5724951268175,30.0,0.0,0.43390753284243383,0.17206061885246146,0.47613668884203986,0.17743711988868638,0.021796319175013932,0.0024387339453528457,0.020460697266927775,0.0026449362824091005
sun3d-home_md-home_md_scan9_2012_sep_30,33.30902348578492,126.97329268121823,29.997549019607842,0.07001400420140053,0.4556740570735876,0.2501614038915004,0.4953578795767371,0.26093575471214225,0.021860368614413785,0.002316087398558774,0.020510648806298284,0.0026798298163809376
sun3d-hotel_uc-scan3,26.388571428571428,146.77537328564156,30.0,0.0,0.498263045261671,0.16577411441412107,0.5410625268664735,0.1676307436165713,0.02101155150106152,0.002549302368037591,0.019430328574226618,0.0029762613840803665
sun3d-hotel_umd-maryland_hotel1,11.61569416498994,73.6562032257118,30.0,0.0,0.5246461645242809,0.13540908223037113,0.5825167130130904,0.14381041208464465,0.02171879467983128,0.0021060523374306986,0.019964593254663227,0.0025979481184260833
sun3d-hotel_umd-maryland_hotel3,7.785714285714286,23.141289321154044,30.0,0.0,0.5476407772780227,0.1327389579038096,0.6086211343481563,0.14386787573870854,0.021212292550900277,0.0021876097575400663,0.019222454963443488,0.0028940488506501044
sun3d-mit_76_studyroom-76-1studyroom2,17.614754098360656,101.8586919447748,30.0,0.0,0.4732602349430309,0.15271920485491103,0.521508922600946,0.15543995048961598,0.020338514421226268,0.0026564766545640844,0.018174679726303947,0.00288593657424848
sun3d-mit_lab_hj-lab_hj_tea_nov_2_2012_scan1_erika,49.9390243902439,309.2554401360496,30.0,0.0,0.502317292288549,0.14933203220041016,0.5575679741182716,0.15001176945903993,0.020514100190841482,0.002735447526945508,0.018357985609622787,0.003102987879752134
TOTAL,24.59449140987183,133.62581262289837,29.9968085106383,0.16630317008662776,0.5014792495036242,0.18921331627130797,0.5505090527412678,0.19660276293480786,0.021248298049134515,0.0025445830564578067,0.019520455653066662,0.0029702866408902935
Inter-Scene STD,,13.352188008323953,,0.005635148405259273,,0.05546208251976294,,0.06240589832743907,,0.0005802218709967886,,0.000879451858734307
