Scene,Target,Source,RANSAC Iterations,ICP Iterations,RANSAC: Fitness,ICP: Fitness,RANSAC: Inlier RMSE,ICP: Inlier RMSE,Initial Guess,Transformation
sun3d-hotel_umd-maryland_hotel3,0,3,3.0,30,0.43493007419630353,0.4877477325679358,0.02227997850340444,0.0218622436606251,"[[ 0.82197999 -0.28051949  0.49563869 -1.63923461]
 [ 0.07368707  0.91534928  0.39586098 -0.49132144]
 [-0.56472924 -0.28886764  0.77306945  0.91715795]
 [ 0.          0.          0.          1.        ]]","[[ 0.87903858 -0.20571821  0.43008278 -1.45002067]
 [ 0.04040909  0.93101604  0.36273438 -0.40715027]
 [-0.47503503 -0.30147826  0.8267119   0.79880065]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,0,12,7.0,30,0.6465473059355588,0.6739314698941749,0.020530975388485563,0.015551467022219736,"[[ 0.99602057 -0.08905059 -0.00360705  0.32021151]
 [ 0.08873736  0.98712738  0.13306098 -0.18954502]
 [-0.00828854 -0.13285155  0.99110129 -0.1075392 ]
 [ 0.          0.          0.          1.        ]]","[[ 9.98711737e-01 -5.05335530e-02 -4.60725412e-03  3.10492669e-01]
 [ 5.07412153e-02  9.95340631e-01  8.19899823e-02 -4.03380981e-02]
 [ 4.42542112e-04 -8.21181353e-02  9.96622504e-01 -1.19907527e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
sun3d-hotel_umd-maryland_hotel3,0,18,0.0,30,0.4471142340203521,0.5504765733942173,0.021329519815691454,0.019853521465995092,"[[1. 0. 0. 0.]
 [0. 1. 0. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]","[[ 0.99964134 -0.02147058 -0.01600621  0.06366076]
 [ 0.02181931  0.99952114  0.02194097 -0.11824468]
 [ 0.01552746 -0.02228235  0.99963113  0.07262132]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,0,23,3.0,30,0.4214260449212993,0.4610122030301244,0.021539721910545057,0.02125138500062183,"[[ 0.96820845 -0.23253228 -0.09220165  0.01084346]
 [ 0.24980017  0.91813872  0.30760553 -0.79458865]
 [ 0.01312569 -0.32085826  0.94703627  1.22721914]
 [ 0.          0.          0.          1.        ]]","[[ 0.9802868  -0.19598424  0.02505947 -0.21375383]
 [ 0.17926798  0.93557571  0.30423852 -0.80492645]
 [-0.08307099 -0.29374864  0.95226622  1.17176474]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,0,29,3.0,30,0.6085834285599727,0.6874360979130331,0.02022003034577176,0.018468141024724008,"[[ 0.88150076  0.46352695  0.08999545  0.63143364]
 [ 0.04336924 -0.26926926  0.96208792 -2.38452271]
 [ 0.47018669 -0.8441782  -0.25746387  1.73887088]
 [ 0.          0.          0.          1.        ]]","[[ 0.89161048  0.40868496  0.19495474  0.46532986]
 [-0.04035154 -0.35712352  0.93318516 -2.42107827]
 [ 0.45100166 -0.8399044  -0.301924    1.78979351]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,0,32,2.0,30,0.5812855101258322,0.6456655861131444,0.02082979887453511,0.015212043739680412,"[[ 0.8470372  -0.27956548  0.45207425  0.28885663]
 [ 0.52228422  0.27978055 -0.80556939  0.29192201]
 [ 0.09872781  0.91845848  0.38299717  1.73092143]
 [ 0.          0.          0.          1.        ]]","[[ 0.92391847 -0.21367984  0.3173572   0.48567447]
 [ 0.36881331  0.27684868 -0.88731705  0.24629888]
 [ 0.10174184  0.93685417  0.33459358  1.78421094]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,0,33,2.0,30,0.5192099765911214,0.6358607224210869,0.022288677309653254,0.01665137763873884,"[[ 0.87480551  0.09868783  0.47431637  0.54400046]
 [-0.22978174  0.94642765  0.22688115 -1.38143327]
 [-0.42651572 -0.30746613  0.85061679  0.71651282]
 [ 0.          0.          0.          1.        ]]","[[ 0.83335454  0.18859684  0.51956851  0.34756475]
 [-0.26986842  0.95916591  0.08468645 -1.14812287]
 [-0.4823808  -0.21078897  0.8502216   0.6440976 ]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,0,35,4.0,30,0.5670210911626286,0.7779126050870865,0.021179462831765312,0.014877432804272613,"[[ 0.97048328 -0.22568915  0.08500943  0.71640102]
 [ 0.23101225  0.97116234 -0.0589666  -0.368471  ]
 [-0.06924984  0.07686432  0.99463377  0.64683722]
 [ 0.          0.          0.          1.        ]]","[[ 0.98072681 -0.18732975 -0.05552014  0.87791901]
 [ 0.18391299  0.98102534 -0.06136199 -0.34865975]
 [ 0.06596159  0.04996848  0.99657023  0.55582728]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,1,4,1.0,30,0.5204167265882559,0.6552721593070819,0.02045638570811678,0.01589128072752413,"[[ 0.06231336 -0.85101756  0.52142703 -1.73434384]
 [ 0.98719957  0.1294057   0.09322647  0.35854774]
 [-0.14681299  0.50894329  0.84818788  0.52722038]
 [ 0.          0.          0.          1.        ]]","[[ 0.0358539  -0.95109184  0.30682047 -1.22249542]
 [ 0.98047475  0.09287731  0.17332938  0.14801681]
 [-0.19334882  0.29461519  0.93585155  0.3242121 ]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,1,13,3.0,30,0.562557105033246,0.6035993677597487,0.02048006819373565,0.017699435549062177,"[[ 0.87193932  0.48302834 -0.08003408  0.33480208]
 [-0.42633493  0.82941237  0.36098982 -0.72696314]
 [ 0.24074957 -0.28063989  0.92912911 -0.02475304]
 [ 0.          0.          0.          1.        ]]","[[ 0.88269599  0.46650673 -0.05673855  0.31488449]
 [-0.40952737  0.82280878  0.39404701 -0.77295131]
 [ 0.23051056 -0.32458773  0.91733728  0.04134222]
 [ 0.          0.          0.          1.        ]]"
