Scene,Mean RANSAC Iterations,STD RANSAC Iterations,Mean ICP Iterations,STD ICP Iterations,RANSAC: Mean Fitness,RANSAC: STD Fitness,ICP: Mean Fitness,ICP: STD Fitness,RANSAC: Mean Inlier RMSE,RANSAC: STD Inlier RMSE,ICP: Mean Inlier RMSE,ICP: STD Inlier RMSE
7-scenes-redkitchen,6.231638418079096,47.79676252767497,30.0,0.0,0.5335227261893013,0.14384952371068194,0.6099075594374525,0.15964680743160561,0.023336415338548907,0.0015833314987417982,0.021666214804869695,0.002216652527817297
sun3d-home_at-home_at_scan1_2013_jan_1,2.0427350427350426,1.420463541407453,30.0,0.0,0.3984756035901218,0.1523272965919936,0.4487073302898518,0.17383664744545674,0.023611588772092275,0.0014974408995214804,0.022156028794374723,0.001905687720576027
sun3d-home_md-home_md_scan9_2012_sep_30,8.0962441314554,41.78038967951625,29.962637362637363,0.7969722925954416,0.424823040833382,0.24348665620700818,0.4741142473781934,0.26446013609023383,0.023292334390943473,0.0018475010446946613,0.02191288715603877,0.0020893052039950718
sun3d-hotel_uc-scan3,3.180722891566265,9.088150977452807,30.0,0.0,0.4517044097559416,0.11642765604824788,0.5006413478020528,0.1369411248317623,0.023322296253074075,0.0015022086179636621,0.021809776555604298,0.0018101934348324048
sun3d-hotel_umd-maryland_hotel1,2.662420382165605,2.305791034633386,30.0,0.0,0.5008621701248793,0.1194366019842124,0.5569970865659883,0.13487101728280076,0.022925555082681646,0.0016005808705741409,0.02130331753983802,0.0023508510176290685
sun3d-hotel_umd-maryland_hotel3,8.342105263157896,51.6794798877745,30.0,0.0,0.5058902580147094,0.11323263822600882,0.5813316684389283,0.1358654115986231,0.02283908932155905,0.0018263577934777198,0.02089431884910062,0.002538479379415703
sun3d-mit_76_studyroom-76-1studyroom2,2.0510204081632653,1.4193358112657668,30.0,0.0,0.4700265836260352,0.13781684255321328,0.5286258658512217,0.14757170858350266,0.022420813260127057,0.0029333525254772127,0.019259004830073305,0.0027715300166422357
sun3d-mit_lab_hj-lab_hj_tea_nov_2_2012_scan1_erika,2.369565217391304,3.8806019803579193,30.0,0.0,0.45349704259400536,0.13167132568469558,0.5194051301747954,0.15807406964677514,0.022940506569446083,0.0025617947758823554,0.020313225741548067,0.0033379274038307103
TOTAL,5.438135593220339,30.86429902879682,29.989240506329114,0.4276814146126334,0.4606203352353387,0.17754114159312784,0.5180989291806628,0.19695093677884815,0.023098359024088282,0.0020350582268931893,0.021234470281929603,0.0025293832062450623
Inter-Scene STD,,2.73218790809487,,0.013209687121067324,,0.04469471762474744,,0.05399130680158182,,0.00037563476680777056,,0.0009753504824728032
