Scene,Target,Source,RANSAC Iterations,ICP Iterations,RANSAC: Fitness,ICP: Fitness,RANSAC: Inlier RMSE,ICP: Inlier RMSE,Initial Guess,Transformation
sun3d-hotel_umd-maryland_hotel3,0,12,0.0,30,0.6461629921237445,0.7002372263292781,0.021576867335992258,0.016782552731479012,"[[1. 0. 0. 0.]
 [0. 1. 0. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]","[[ 0.99993585  0.00517675 -0.01007477  0.04392642]
 [-0.0050668   0.99992766  0.01090846  0.05717141]
 [ 0.01013051 -0.01085672  0.99988975  0.03497143]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,0,13,0.0,30,0.5483070186518463,0.6118917098227443,0.022592891029167336,0.017815334987585103,"[[1. 0. 0. 0.]
 [0. 1. 0. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]","[[ 0.99606616  0.0106922   0.0879652  -0.2299685 ]
 [-0.01528093  0.9985479   0.05165838 -0.13161986]
 [-0.08728513 -0.05279935  0.99478316  0.01539497]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,0,14,2.0,30,0.498709869287525,0.5410108620225738,0.02438639315171423,0.023189960107507325,"[[ 0.99255193  0.08368475  0.08852983 -0.47823294]
 [ 0.0390638   0.46970244 -0.88196011  1.12035837]
 [-0.11538929  0.87884952  0.46293502  1.63497762]
 [ 0.          0.          0.          1.        ]]","[[ 0.99832414  0.03860633  0.04310994 -0.33356437]
 [ 0.02144264  0.44514445 -0.89520201  1.15703098]
 [-0.05375061  0.89462616  0.44357062  1.67068903]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,0,18,0.0,30,0.4820499597099114,0.5706172441579371,0.02277410234833041,0.021020329179365943,"[[1. 0. 0. 0.]
 [0. 1. 0. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]","[[ 0.99951404 -0.03020911  0.00768777  0.0152581 ]
 [ 0.02995867  0.99907536  0.03083665 -0.13721503]
 [-0.00861221 -0.03059135  0.99949487  0.05871784]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,0,25,1.0,30,0.4902678980223118,0.5518654591341053,0.024272486485179354,0.023248308486851502,"[[ 0.08093228 -0.1059646   0.99107087 -1.87071881]
 [-0.46022551 -0.88596111 -0.05714366 -0.88764942]
 [ 0.88410545 -0.45149133 -0.12047046  2.9244836 ]
 [ 0.          0.          0.          1.        ]]","[[ 0.05760878 -0.06010852  0.99652807 -1.87572086]
 [-0.37915775 -0.92471241 -0.03385783 -0.97616208]
 [ 0.92353702 -0.37589083 -0.07606216  2.89966237]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,0,32,2.0,30,0.5395304348846626,0.614020057155264,0.023912019904979365,0.02314562528989239,"[[-0.20379533  0.16021771  0.96581455 -0.5735299 ]
 [-0.88755065 -0.44658733 -0.11319717 -0.40102246]
 [ 0.41318435 -0.88027839  0.23321374  1.93667562]
 [ 0.          0.          0.          1.        ]]","[[-0.22389604  0.27153212  0.93602397 -0.56477489]
 [-0.91352817 -0.39313106 -0.10447129 -0.43152452]
 [ 0.33961278 -0.87847497  0.33607273  1.76694683]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,1,4,2.0,30,0.4908446664067844,0.585200317742849,0.023954069731835767,0.02228638237853581,"[[1. 0. 0. 0.]
 [0. 1. 0. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]","[[ 0.99748461 -0.00395544  0.07077296 -0.14187705]
 [ 0.00283296  0.99986872  0.01595373 -0.02919732]
 [-0.07082677 -0.01571311  0.99736486  0.08718374]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,1,20,2.0,30,0.533074701002237,0.5901308720694697,0.022378132354909087,0.021521137987581082,"[[-0.69413232  0.54354955  0.47194726 -0.54968409]
 [-0.68208157 -0.70620254 -0.18984917  0.61909434]
 [ 0.23009792 -0.45368697  0.86094313  1.04367385]
 [ 0.          0.          0.          1.        ]]","[[-0.72235174  0.4865702   0.49138316 -0.5528478 ]
 [-0.656275   -0.70632685 -0.26534037  0.74167036]
 [ 0.2179704  -0.51415156  0.82954028  1.1477423 ]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,2,15,2.0,30,0.4397158207948344,0.45800255387840166,0.023656153031311668,0.023870656513358998,"[[-0.39416588  0.91854464  0.03014955  0.8334472 ]
 [-0.86297956 -0.38120547  0.3315851  -0.97029784]
 [ 0.31606889  0.10468108  0.94294344  0.20365109]
 [ 0.          0.          0.          1.        ]]","[[-0.36961645  0.92895242  0.02076254  0.84371244]
 [-0.89442507 -0.36175534  0.2629389  -0.82898573]
 [ 0.25176868  0.07861601  0.96458906  0.14898705]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,2,25,1.0,30,0.4511384828417961,0.4801952003930809,0.02373330339402825,0.02150932488271946,"[[ 0.85425823  0.13499086  0.50201628  0.26932429]
 [ 0.18520481  0.8233018  -0.53653828  0.76205802]
 [-0.48573867  0.55131807  0.67831138  1.93758403]
 [ 0.          0.          0.          1.        ]]","[[ 0.88594308  0.07437016  0.45779246  0.23560869]
 [ 0.23378466  0.78087747 -0.57928845  0.80745478]
 [-0.40056159  0.62024145  0.67442639  1.96315289]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,2,26,2.0,30,0.6818257055367044,0.7699522745455047,0.02038447727285211,0.01608908074132425,"[[-0.2028149  -0.88070707 -0.42804342 -0.05562397]
 [ 0.97565116 -0.21901864 -0.01164677 -0.46298132]
 [-0.0834921  -0.41998319  0.90368312  1.44438941]
 [ 0.          0.          0.          1.        ]]","[[-0.15492522 -0.80098282 -0.57829465  0.09437234]
 [ 0.98790802 -0.12915802 -0.08576686 -0.31721411]
 [-0.00599361 -0.58458937  0.81130718  1.4879493 ]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,2,28,1.0,30,0.5836113170249567,0.6161662960217446,0.0240592588440785,0.023350799678915096,"[[ 0.80200888 -0.39986594  0.44372174 -0.06221535]
 [ 0.127377   -0.61128267 -0.78109449  1.10149765]
 [ 0.5835725   0.68296466 -0.4393204   3.05484524]
 [ 0.          0.          0.          1.        ]]","[[ 0.79012325 -0.4309835   0.43584226 -0.06395411]
 [ 0.14805781 -0.55580745 -0.81802015  1.11714997]
 [ 0.59479756  0.71086659 -0.37534591  3.01178692]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel3,2,31,1.0,30,0.46030729833546735,0.480502378647346,0.023835191478396158,0.023439627436444004,"[[ 0.15011443  0.96797519 -0.20122051  0.28924896]
 [-0.53130846  0.25062265  0.80925868 -1.49414706]
 [ 0.83377274 -0.01457125  0.55191548  1.62304868]
 [ 0.          0.          0.          1.        ]]","[[ 0.18173747  0.97019035 -0.16031901  0.26730689]
 [-0.54353618  0.23497461  0.80582588 -1.53394784]
 [ 0.81947539 -0.05930957  0.57003725  1.58703645]
 [ 0.          0.          0.          1.        ]]"
