Scene,Target,Source,Fitness,Inlier RMSE,Transformation
sun3d-hotel_umd-maryland_hotel3,8,15,0.6115439315199599,0.016363350370866298,"[[0.910337089767, -0.305663896589, 0.279026818274, 0.120648731743], [0.250722710128, 0.943700242408, 0.21579614247, -0.262946323723], [-0.329278765819, -0.126488872243, 0.935722212828, 0.781579456412], [0.0, 0.0, 0.0, 1.0]]"
sun3d-hotel_umd-maryland_hotel3,8,16,0.3949301957483843,0.015879418775307123,"[[0.916007039704, -0.256422539196, 0.308510266612, 0.590709713191], [0.24153403374, 0.966554486657, 0.086219109654, -0.591001774333], [-0.320300505399, -0.004461582255, 0.947305484269, 1.063337545811], [0.0, 0.0, 0.0, 1.0]]"
sun3d-hotel_umd-maryland_hotel3,10,15,0.5842181057075645,0.015540449594064502,"[[0.93671947924, 0.180229117776, -0.300123445133, -0.18462324466], [-0.116023073552, 0.968670533263, 0.219581521059, -0.319511882583], [0.330295721462, -0.170865043508, 0.928283293661, 0.682148967563], [0.0, 0.0, 0.0, 1.0]]"
sun3d-home_md-home_md_scan9_2012_sep_30,41,49,0.7943390559372214,0.01582229345752514,"[[0.972573548608, -0.231920542629, 0.017707468874, 0.119329137697], [0.214932755763, 0.925210317392, 0.312713573564, -0.327563026074], [-0.088907834566, -0.300331034857, 0.94968240294, 0.565233244216], [0.0, 0.0, 0.0, 1.0]]"
sun3d-home_md-home_md_scan9_2012_sep_30,41,45,0.40687369752724095,0.0179084526398558,"[[0.998455533084, -0.041453361409, 0.03698874534, 0.082621981971], [0.054534326904, 0.858422160729, -0.510036666484, 0.261188031833], [-0.010609224429, 0.511266088057, 0.859356987264, -0.291126408569], [0.0, 0.0, 0.0, 1.0]]"
sun3d-home_md-home_md_scan9_2012_sep_30,54,59,0.3050303961520476,0.02189466572853154,"[[0.942027991198, 0.143923507842, -0.303099468311, -0.131496902481], [-0.21594506139, 0.95144314614, -0.219371078596, 0.054167180325], [0.256809256573, 0.272106529788, 0.927365646434, -0.484386727479], [0.0, 0.0, 0.0, 1.0]]"
sun3d-hotel_umd-maryland_hotel1,15,23,0.5452454667945074,0.02286768016422538,"[[0.633251818024, -0.288601598505, 0.718123424148, -1.700701874404], [0.458002979668, 0.88770084926, -0.047121893404, 0.689068126467], [-0.623879319729, 0.358742692696, 0.694318568708, -0.400479043768], [0.0, 0.0, 0.0, 1.0]]"
sun3d-hotel_umd-maryland_hotel1,50,54,0.6025918728571251,0.01495687294780818,"[[0.925175892951, 0.125580312658, -0.358160790951, 0.207455955238], [-0.178194496747, 0.9769227214, -0.117765520169, -0.057348968238], [0.335106383752, 0.172776102179, 0.926203071731, 0.103310201001], [0.0, 0.0, 0.0, 1.0]]"
sun3d-hotel_umd-maryland_hotel1,39,41,0.5601841350323571,0.018304359992608273,"[[0.56870984857, -0.682275445891, 0.459422816231, -0.103954080172], [0.676388271598, 0.70573939056, 0.210786191806, -0.201842397017], [-0.468047021338, 0.190872021381, 0.862844051536, 0.330433780104], [0.0, 0.0, 0.0, 1.0]]"
sun3d-hotel_uc-scan3,2,45,0.7165105342005954,0.016145605539257254,"[[0.996641734532, 0.053036420549, 0.062389030161, 0.798674718015], [-0.051935882949, 0.998467132096, -0.019132438065, -0.131933537359], [-0.06330811205, 0.015827956891, 0.997868507735, -0.324022052239], [0.0, 0.0, 0.0, 1.0]]"
