Scene,Mean RANSAC Iterations,STD RANSAC Iterations,Mean ICP Iterations,STD ICP Iterations,RANSAC: Mean Fitness,RANSAC: STD Fitness,ICP: Mean Fitness,ICP: STD Fitness,RANSAC: Mean Inlier RMSE,RANSAC: STD Inlier RMSE,ICP: Mean Inlier RMSE,ICP: STD Inlier RMSE
7-scenes-redkitchen,37.22574740695546,13.51516295523696,30.0,0.0,0.45409071556626635,0.15301176471107644,0.5182894386204517,0.17060708588447568,0.02264858940932237,0.0017220784373742958,0.02125067280379144,0.0021932319133089098
sun3d-home_at-home_at_scan1_2013_jan_1,37.0140586797066,13.160981081505563,30.0,0.0,0.3789433632424699,0.12126273977594142,0.42735035358926915,0.13197836308614908,0.022954525760934114,0.0016231414302360222,0.021734216902963007,0.0019759851749913985
sun3d-home_md-home_md_scan9_2012_sep_30,43.93321407274895,31.337379221965627,29.99344066785927,0.26861245977802756,0.4390808333716427,0.2040450828570202,0.4867848515346533,0.21695807654311516,0.022468193483188844,0.001830466142058176,0.021239708803611097,0.00227048606809827
sun3d-hotel_uc-scan3,37.130714285714284,15.711049714153294,30.0,0.0,0.3914502553534442,0.11502144013026526,0.4416411094342475,0.12879153320413128,0.022400911017076693,0.0015813931753882137,0.02113961283747507,0.001963708550717452
sun3d-hotel_umd-maryland_hotel1,43.52168199737188,20.23055449000597,30.0,0.0,0.49298006219594576,0.13123082133246364,0.5544581853237702,0.1435060803943323,0.02197818126882035,0.0017453508917812356,0.020514114800635867,0.0022479578992590865
sun3d-hotel_umd-maryland_hotel3,40.79936305732484,15.698551815350319,30.0,0.0,0.4985098992902848,0.1289718360986519,0.5642668326391053,0.1406513953637192,0.021529728528023824,0.0019436476726455566,0.019759933281616845,0.002555082417437847
sun3d-mit_76_studyroom-76-1studyroom2,29.925200803212853,8.153347428765873,30.0,0.0,0.39506137232854466,0.1081517776027399,0.45057142694161173,0.12210943095082402,0.022027383758695684,0.001965240216276414,0.0204684167977245,0.0025743920665625944
sun3d-mit_lab_hj-lab_hj_tea_nov_2_2012_scan1_erika,31.59433962264151,9.501706404777252,30.0,0.0,0.41456785450327516,0.10812613715036463,0.47632153602787186,0.12265560527482283,0.02160662635819239,0.002385257626474103,0.019714677419090314,0.003048799894986785
TOTAL,37.62749326145553,18.499629250903432,29.999011680143756,0.10426657383211663,0.4279049614282058,0.1459209692263009,0.48355624671555053,0.15996707869435378,0.02230969472595313,0.0018606423414973428,0.02089351510708126,0.0023810743209128483
Inter-Scene STD,,5.085991169174894,,0.002319074118381983,,0.04597899482483031,,0.051389702055923796,,0.0005018772777565262,,0.0007362099476890505
