Scene,Target,Source,RANSAC Iterations,ICP Iterations,RANSAC: Fitness,ICP: Fitness,RANSAC: Inlier RMSE,ICP: Inlier RMSE,Initial Guess,Transformation
sun3d-mit_76_studyroom-76-1studyroom2,0,2,41,30,0.41083346545849425,0.447943185183634,0.019836944977428266,0.01951471981253465,"[[-0.98659717  0.12112143 -0.10934174  0.95532622]
 [ 0.03487753  0.81113476  0.58381843 -1.64046714]
 [ 0.15940381  0.57218005 -0.80448768  4.1144161 ]
 [ 0.          0.          0.          1.        ]]","[[-0.98346837  0.08677916 -0.1589319   1.14084935]
 [-0.01192127  0.84475648  0.53501811 -1.49264   ]
 [ 0.18068717  0.52806806 -0.82975676  4.26329759]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,3,24,30,0.29043885048235224,0.33673219637670115,0.023724898294005536,0.02254595691497278,"[[ 0.86580603 -0.48388368  0.12742257  0.22722975]
 [ 0.48184829  0.87491565  0.04842349 -0.23638909]
 [-0.13491533  0.01947299  0.99066576 -0.69549216]
 [ 0.          0.          0.          1.        ]]","[[ 0.88951939 -0.42748595  0.1612793   0.07129423]
 [ 0.44935973  0.88238258 -0.13955938  0.32698998]
 [-0.08265037  0.1966132   0.97699138 -0.76640458]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,4,38,30,0.45571642690483183,0.48171268754732144,0.023332049804951814,0.021255258324524188,"[[-0.95458167 -0.00545076  0.29789952 -1.06433966]
 [-0.29678313  0.10577244 -0.949069    3.11184678]
 [-0.02633641 -0.99437542 -0.10258612  3.27919059]
 [ 0.          0.          0.          1.        ]]","[[-0.95511157 -0.0071263   0.2961606  -1.03626276]
 [-0.29467301 -0.08004154 -0.95224008  3.2767019 ]
 [ 0.03049111 -0.99676605  0.07434868  2.74150608]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,5,24,30,0.3690664953479683,0.4731471609393368,0.02355688325901348,0.01930022498745919,"[[ 9.87368061e-01  2.19824391e-03  1.58428154e-01 -1.21180008e-01]
 [-5.23429859e-03 -9.98905426e-01  4.64817446e-02  1.22650762e+00]
 [ 1.58356921e-01 -4.67238503e-02 -9.86275807e-01  5.31391861e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","[[ 0.97115172 -0.09291601  0.21961546 -0.24128173]
 [-0.14496159 -0.96129084  0.23432042  0.64450474]
 [ 0.18934221 -0.25939649 -0.9470285   5.49292915]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,6,44,30,0.40549861843034096,0.5070202178817469,0.02219657846701453,0.019783107418456167,"[[ 0.89741795 -0.2695993   0.34922378 -1.10499774]
 [-0.16172854 -0.93749355 -0.30813914  1.66777175]
 [ 0.41046913  0.22005014 -0.88492543  4.96008567]
 [ 0.          0.          0.          1.        ]]","[[ 0.89309192 -0.25458582  0.37090818 -1.18780893]
 [-0.25199042 -0.96608759 -0.05635247  1.04381596]
 [ 0.37267633 -0.04313737 -0.92695821  5.16627636]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,7,49,30,0.43291811049994205,0.5408459896859851,0.021055351230263922,0.018615503255817904,"[[ 0.95591832 -0.1531126   0.25055277 -0.90745961]
 [-0.16136127 -0.9868151   0.01258965  1.12563235]
 [ 0.24532162 -0.05246419 -0.96802108  5.07488178]
 [ 0.          0.          0.          1.        ]]","[[ 0.95657427 -0.05112762  0.28696974 -1.06491985]
 [-0.06780421 -0.99652047  0.04847214  0.93202157]
 [ 0.28349296 -0.06582496 -0.95671251  5.01862841]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,8,24,30,0.3849508676801995,0.44899733461454866,0.0229065839157959,0.022271556380166476,"[[-0.35126095  0.81187149 -0.46634796  1.71666423]
 [-0.59761933 -0.57784064 -0.55583391  2.742721  ]
 [-0.72074051  0.08345581  0.68816295  1.09098947]
 [ 0.          0.          0.          1.        ]]","[[-2.73856683e-01  8.17228996e-01 -5.07089031e-01  1.79222362e+00]
 [-3.87054595e-01 -5.76312470e-01 -7.19758763e-01  2.96816858e+00]
 [-8.80449464e-01 -8.39607723e-04  4.74139259e-01  1.94742975e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,9,33,30,0.3927300384593307,0.40295117961081456,0.023133910262324926,0.0231728836516529,"[[-0.94214947 -0.29950536 -0.15050219  0.54502978]
 [ 0.15539519  0.00755947 -0.98782346  3.60789962]
 [ 0.29699614 -0.95406467  0.03941954  3.16756635]
 [ 0.          0.          0.          1.        ]]","[[-0.93233116 -0.30928433 -0.18735475  0.68306981]
 [ 0.18575548  0.03489439 -0.98197621  3.57437315]
 [ 0.31024749 -0.9503292   0.02491813  3.2211951 ]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,10,40,30,0.31643372470912173,0.36498784039859766,0.022690837031396602,0.022659163828741346,"[[-0.87222739 -0.4628861   0.15797418 -0.28489596]
 [ 0.30750421 -0.77015777 -0.55883644  2.38706972]
 [ 0.38034267 -0.43885472  0.81409213 -0.04057328]
 [ 0.          0.          0.          1.        ]]","[[-0.88414742 -0.45804398  0.09208181 -0.09800771]
 [ 0.27692103 -0.67250656 -0.68633058  2.76197884]
 [ 0.37629521 -0.58131802  0.72143695  0.31043597]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,11,32,30,0.226954904349969,0.24444396635184268,0.02432607501855681,0.02418979108255566,"[[-0.93638976  0.171365   -0.30628134  0.99875902]
 [-0.06215029  0.77793287  0.62526617 -1.50672985]
 [ 0.34541506  0.60452831 -0.71779799  4.01808162]
 [ 0.          0.          0.          1.        ]]","[[-0.93501355  0.18605797 -0.30188093  0.9203402 ]
 [-0.04314215  0.78529124  0.61762159 -1.49641738]
 [ 0.35197787  0.59050834 -0.72623101  4.00975175]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,12,24,30,0.218796440866081,0.35754999153482947,0.02602364667653006,0.02092905472785057,"[[ 9.99545024e-01 -2.50243591e-02 -1.68382346e-02  6.03104098e-01]
 [-3.00125015e-04  5.49980936e-01 -8.35177155e-01  1.44761386e+00]
 [ 3.01604811e-02  8.34802223e-01  5.49723197e-01  2.94786442e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","[[ 0.99857498 -0.04441374 -0.02958766  0.62573862]
 [ 0.00576757  0.64098895 -0.76752844  1.29286653]
 [ 0.05305417  0.76626404  0.64033169  0.31944751]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,13,40,30,0.564266929651545,0.6196263069712201,0.02264707247053665,0.02038077165711334,"[[ 0.98738833 -0.03526071  0.15434045 -0.64397764]
 [ 0.13455245  0.70062291 -0.70073045  2.12835507]
 [-0.0834262   0.71265996  0.6965313   0.37606001]
 [ 0.          0.          0.          1.        ]]","[[ 0.98938628 -0.02958476  0.1422657  -0.58442621]
 [ 0.11827998  0.73268285 -0.67021317  2.02781255]
 [-0.08440755  0.6799269   0.72840564  0.20486544]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,14,41,30,0.43401339937418026,0.5389397157063996,0.021178308913046395,0.02048634033640437,"[[-9.84590754e-01 -4.60866127e-02 -1.68692239e-01  3.56594767e-01]
 [ 1.74872549e-01 -2.63887705e-01 -9.48568854e-01  3.23124282e+00]
 [-7.99482546e-04 -9.63451765e-01  2.67880678e-01  2.89387805e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","[[-0.98938015  0.04007276 -0.13971793  0.11843481]
 [ 0.10972933 -0.4244734  -0.89876683  3.30116388]
 [-0.09532261 -0.90455321  0.4155684   2.32379512]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,15,23,30,0.3348199128908031,0.3421024551601044,0.021772172706271384,0.02047026957657869,"[[-0.38787677 -0.26471256  0.88288101 -2.39759486]
 [ 0.5313865   0.71843672  0.44886197 -1.09202782]
 [-0.75311354  0.64325418 -0.13800023  1.81591049]
 [ 0.          0.          0.          1.        ]]","[[-0.39247216 -0.28272424  0.87523289 -2.37977097]
 [ 0.47110127  0.75549254  0.45529618 -1.15960782]
 [-0.78995519  0.5910144  -0.16331804  1.92365178]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,17,24,30,0.43081194048473126,0.480071118874575,0.020795946517906606,0.020413786339982417,"[[-0.2241193  -0.80250921  0.55294621 -1.4483198 ]
 [-0.90116685 -0.04536033 -0.43109251  0.98580931]
 [ 0.37103754 -0.59491294 -0.71302857  5.46109927]
 [ 0.          0.          0.          1.        ]]","[[-0.24559194 -0.78834459  0.56408989 -1.50132486]
 [-0.93258378  0.03335604 -0.35940904  0.62742391]
 [ 0.26452237 -0.61432904 -0.74338936  5.44170209]
 [ 0.          0.          0.          1.        ]]"
