Scene,Target,Source,RANSAC Iterations,ICP Iterations,RANSAC: Fitness,ICP: Fitness,RANSAC: Inlier RMSE,ICP: Inlier RMSE,Initial Guess,Transformation
sun3d-mit_76_studyroom-76-1studyroom2,0,2,57,30,0.48845425527777697,0.5694075906652826,0.024574983290480638,0.022669346601237792,"[[ 0.90954315  0.09942131  0.40354264 -1.70242766]
 [-0.11742211 -0.86993463  0.47898412 -0.27366093]
 [ 0.39867695 -0.48304155 -0.77956883  4.39156732]
 [ 0.          0.          0.          1.        ]]","[[ 0.92826892 -0.01327631  0.37167265 -1.53082421]
 [-0.17306458 -0.89998769  0.4000885   0.01808804]
 [ 0.32918911 -0.43571309 -0.83772826  4.62292044]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,3,41,30,0.39818419436324426,0.41166188701551193,0.022341316559492216,0.021229226742260084,"[[ 0.94397029 -0.2619061  -0.20081155  0.38724665]
 [ 0.24070532  0.96264299 -0.12401378  0.19272969]
 [ 0.2257898   0.06872891  0.97174858 -0.89661989]
 [ 0.          0.          0.          1.        ]]","[[ 0.92196767 -0.31269839 -0.22846298  0.53418325]
 [ 0.29869344  0.94966602 -0.09442814  0.07655209]
 [ 0.24649106  0.0188193   0.96896233 -0.85420444]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,4,43,30,0.39795726007076965,0.44700774139715993,0.02478123876029368,0.023861167799236818,"[[ 0.88844631 -0.25997958 -0.37825095  1.12298579]
 [-0.2308972  -0.96539979  0.1212012   0.92684213]
 [-0.39667323 -0.02034368 -0.91773443  5.03688229]
 [ 0.          0.          0.          1.        ]]","[[ 0.89217159 -0.23466166 -0.38595823  1.13601232]
 [-0.19947533 -0.97131414  0.12945434  0.83673062]
 [-0.40526466 -0.03850634 -0.9133881   5.03175131]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,5,33,30,0.32485169086087645,0.3613867701869014,0.02434624231654547,0.02377706111161227,"[[ 5.18976016e-01  1.30766318e-02  8.54688772e-01 -1.71598123e+00]
 [ 2.26234096e-02 -9.99742843e-01  1.55876861e-03  1.63417599e+00]
 [ 8.54489366e-01  1.85270107e-02 -5.19138395e-01  4.37157596e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","[[ 0.55826664 -0.01193545  0.82957573 -1.58070741]
 [-0.0767792  -0.9963489   0.03733401  1.43861988]
 [ 0.82610127 -0.08453649 -0.55714475  4.54868131]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,6,46,30,0.42266523371433345,0.5481618928800901,0.024812358052491924,0.023063466789684083,"[[ 0.69400463 -0.44336327  0.56726235 -1.44353451]
 [-0.69584671 -0.61529999  0.37040961 -0.15836448]
 [ 0.1848105  -0.65179363 -0.73553392  4.75596197]
 [ 0.          0.          0.          1.        ]]","[[ 0.72674236 -0.31210469  0.61191193 -1.69586643]
 [-0.64297272 -0.62256414  0.44609413 -0.36403824]
 [ 0.24172636 -0.71763818 -0.65311853  4.57207749]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,7,41,30,0.459514700262359,0.5135409018107494,0.02324252051460477,0.02308847136568432,"[[-0.11018573  0.90063098 -0.42038429  1.24440503]
 [ 0.86702975 -0.11968518 -0.48366814  1.33102602]
 [-0.48592028 -0.41777901 -0.76768625  5.26012145]
 [ 0.          0.          0.          1.        ]]","[[-0.16811349  0.88774486 -0.42854046  1.34694584]
 [ 0.75996621 -0.16016475 -0.62991953  1.88263465]
 [-0.62784489 -0.43157424 -0.64773024  4.99083632]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,8,22,30,0.40286786323026413,0.46301634693480676,0.024016398592574626,0.02337935602267427,"[[ 5.46854272e-01 -8.35151777e-01  5.89229568e-02 -7.42534939e-01]
 [-8.36591658e-01 -5.47826817e-01 -4.21186392e-04  1.21296778e+00]
 [ 3.26313304e-02 -4.90641265e-02 -9.98262444e-01  5.35363409e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","[[ 0.47571204 -0.86609782  0.15353374 -1.01640778]
 [-0.87861093 -0.4761616   0.03623483  1.18250026]
 [ 0.04172397 -0.15213377 -0.98747882  5.30445161]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,9,25,30,0.33007038918546583,0.36286306756213765,0.023837422877262232,0.022802757504401798,"[[ 0.75575069  0.47827645 -0.44731704  1.49795458]
 [ 0.62928527 -0.71943499  0.29396146  0.78820174]
 [-0.18122069 -0.5036516  -0.84468581  5.01288048]
 [ 0.          0.          0.          1.        ]]","[[ 0.82656663  0.38952493 -0.40627323  1.50327769]
 [ 0.52700747 -0.78905993  0.31567001  0.7286561 ]
 [-0.19761259 -0.47503132 -0.85749315  4.99821026]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,10,24,30,0.22979461356193592,0.24056343128654514,0.02450162003168624,0.023855197617859456,"[[-0.07832024  0.85372285 -0.51480407  0.80015471]
 [-0.90606067 -0.27635213 -0.32044276  0.66105105]
 [-0.41583651  0.44134656  0.79516867 -0.10344352]
 [ 0.          0.          0.          1.        ]]","[[-0.04167449  0.88218321 -0.46905866  0.7546611 ]
 [-0.94270288 -0.19025645 -0.27406889  0.49930551]
 [-0.33102041  0.43076127  0.83956549 -0.16044928]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,11,29,30,0.20856615899751804,0.21647359331574387,0.02438894338771166,0.02400910430521743,"[[-0.25048049  0.60294211 -0.75744329  1.88099235]
 [ 0.6824797   0.66488105  0.30356984 -0.37371892]
 [ 0.68664473 -0.44090135 -0.57803548  3.99579307]
 [ 0.          0.          0.          1.        ]]","[[-0.24355796  0.58339854 -0.77480685  1.92063803]
 [ 0.70836381  0.65267542  0.26876664 -0.28198519]
 [ 0.66249545 -0.48338488 -0.57222271  3.9364443 ]
 [ 0.          0.          0.          1.        ]]"
