Scene,Mean RANSAC Iterations,STD RANSAC Iterations,Mean ICP Iterations,STD ICP Iterations,RANSAC: Mean Fitness,RANSAC: STD Fitness,ICP: Mean Fitness,ICP: STD Fitness,RANSAC: Mean Inlier RMSE,RANSAC: STD Inlier RMSE,ICP: Mean Inlier RMSE,ICP: STD Inlier RMSE
7-scenes-redkitchen,37.15940298507463,13.567575890093401,30.0,0.0,0.46617630137983274,0.15482739931277134,0.5235337854196016,0.16745376333592152,0.023458769001209665,0.0018204368009168373,0.02206435404185065,0.0022160035923566913
sun3d-home_at-home_at_scan1_2013_jan_1,36.61515333734215,13.351124520212192,30.0,0.0,0.39394116171334853,0.121874058080111,0.4383807355294351,0.13119217389531324,0.023769710672187225,0.0016008095472650125,0.022568830541084852,0.00201073706235771
sun3d-home_md-home_md_scan9_2012_sep_30,43.74557260920897,31.525923307628023,29.99173553719008,0.27698091515501,0.45274795095787335,0.20537863050719993,0.49736754823632584,0.21721477679927237,0.02314801840725804,0.0019080300910294266,0.021905885243670237,0.002300705009672149
sun3d-hotel_uc-scan3,36.33851590106007,15.639341528772901,30.0,0.0,0.40972314856519076,0.11409531125578425,0.4564248621894451,0.12658446504841772,0.023466723979939094,0.0015837259548151868,0.022172250682811052,0.0019919182815413884
sun3d-hotel_umd-maryland_hotel1,42.87075718015666,20.23248950480791,30.0,0.0,0.5134418654006018,0.1318661456351741,0.5686150754392151,0.14225882879414778,0.02297204037168247,0.0017981004892089535,0.021447360174704434,0.002360394787180912
sun3d-hotel_umd-maryland_hotel3,40.48330683624801,15.454426257815246,30.0,0.0,0.521741864852625,0.1277845374310253,0.5801068803711301,0.13899591156064292,0.022510582413150168,0.0020746625347976963,0.02077396686619493,0.0027032626739211833
sun3d-mit_76_studyroom-76-1studyroom2,29.7707100591716,8.243410314007713,30.0,0.0,0.4134998613515227,0.11063120776934363,0.46431080807817,0.12095005020461042,0.02326724297076702,0.001947113964485462,0.021690290146079948,0.0026359583361957647
sun3d-mit_lab_hj-lab_hj_tea_nov_2_2012_scan1_erika,31.91499227202473,9.266130991550451,30.0,0.0,0.4294540090373167,0.10916375963523288,0.4906537354832727,0.12400265469246914,0.022816448430234774,0.0023344076583171596,0.020819649155116523,0.0031376663212671274
TOTAL,37.2970841088363,18.50407127130327,29.99875919524949,0.1073370388826926,0.4443752348078486,0.14706576274525196,0.4953832198387138,0.15876394076253328,0.023268736825733306,0.0018725986483789207,0.021834127882209814,0.0024164074371682965
Inter-Scene STD,,4.9249058280969455,,0.002921928847878835,,0.047749554197247426,,0.05167991326262127,,0.00040350898082747513,,0.0006376753084533118
