Scene,Target,Source,RANSAC Iterations,ICP Iterations,RANSAC: Fitness,ICP: Fitness,RANSAC: Inlier RMSE,ICP: Inlier RMSE,Initial Guess,Transformation
sun3d-mit_76_studyroom-76-1studyroom2,0,2,45,30,0.4886670272589647,0.5042077495112363,0.022715803855326767,0.021195674346702845,"[[-0.39770914  0.15372493 -0.90454192  2.82868714]
 [-0.83081066  0.35800107  0.42613247 -0.46462087]
 [ 0.38933416  0.92097985 -0.01466399  1.33102295]
 [ 0.          0.          0.          1.        ]]","[[-0.40536398  0.19635622 -0.89281817  2.75820149]
 [-0.8077901   0.38028848  0.4503952  -0.59046641]
 [ 0.42796636  0.90378366  0.00445936  1.21375489]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,3,33,30,0.38872458927688475,0.4081155715605146,0.01983452514038108,0.017906942632992258,"[[-0.90563461  0.06602277  0.41888774 -0.7221962 ]
 [ 0.32058583  0.7531922   0.57439206 -1.45659401]
 [-0.27758002  0.65447881 -0.70328289  3.93115323]
 [ 0.          0.          0.          1.        ]]","[[-0.92495881  0.0412401   0.37782332 -0.60537082]
 [ 0.26263686  0.78791582  0.55696548 -1.39445178]
 [-0.27472365  0.61440046 -0.73962084  4.08572845]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,4,31,30,0.4440892773528953,0.5410894334321835,0.023746007031336638,0.02277101087725893,"[[ 0.94016036 -0.27059861  0.20706253 -0.29814136]
 [-0.33865353 -0.67506485  0.65543973 -1.29897314]
 [-0.03758044 -0.68634091 -0.72630839  5.07630508]
 [ 0.          0.          0.          1.        ]]","[[ 0.95899403 -0.13826478  0.24741322 -0.48904855]
 [-0.27103313 -0.70268309  0.65785828 -1.29355788]
 [ 0.08289446 -0.69793934 -0.71134323  5.00096834]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,5,35,30,0.2862971426204497,0.34391187387673483,0.026279858215407934,0.02250649207252171,"[[-7.14573972e-01  2.33444507e-01 -6.59460158e-01  8.30627316e-01]
 [ 1.46741582e-04  9.42728629e-01  3.33560655e-01 -1.57805867e+00]
 [ 6.99559873e-01  2.38256992e-01 -6.73683597e-01  4.50762201e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","[[-0.71659071  0.344759   -0.6063324   0.58834563]
 [-0.01190976  0.86312666  0.50484703 -1.91401803]
 [ 0.69739222  0.36898997 -0.61440255  4.18806226]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,6,47,30,0.5115410696771527,0.5445708514867622,0.02257154293195383,0.022219102723136028,"[[-0.64107398  0.53503732 -0.5502356   2.09372213]
 [ 0.613205   -0.07405158 -0.78644516  2.32242742]
 [-0.46152333 -0.84157675 -0.28061502  3.88811847]
 [ 0.          0.          0.          1.        ]]","[[-0.66344642  0.52150842 -0.53653314  2.07942593]
 [ 0.58574041 -0.08417935 -0.80611538  2.45930142]
 [-0.46556097 -0.84908351 -0.24962006  3.77596593]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,7,39,30,0.534905457833912,0.5808634251177033,0.023897430047230352,0.02356539598493891,"[[-0.72844882  0.51493511 -0.45188953  1.79962827]
 [ 0.52521511 -0.00378315 -0.85096109  2.90671954]
 [-0.43989931 -0.85722081 -0.26769587  3.73652299]
 [ 0.          0.          0.          1.        ]]","[[-0.72054691  0.52812356 -0.44933023  1.80893422]
 [ 0.54635537  0.03339335 -0.8368875   2.78707564]
 [-0.42697537 -0.84851069 -0.31260462  3.91501919]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,8,28,30,0.3393428700183724,0.37345308112730086,0.021809226243832584,0.019252633919970542,"[[ 0.93729934  0.08689138  0.33752014 -0.97767894]
 [-0.04816284  0.99142424 -0.12148378  0.36111708]
 [-0.34518154  0.09761074  0.93344622  0.09793702]
 [ 0.          0.          0.          1.        ]]","[[ 0.95739017  0.03003998  0.28723101 -0.87428672]
 [ 0.00530503  0.99257834 -0.12149112  0.33061453]
 [-0.28874887  0.11783817  0.95012539  0.04363935]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,9,25,30,0.2817241591743402,0.3975354141526152,0.025187840059131987,0.01914150228884564,"[[-0.89209254  0.1666167  -0.42001164  0.86849652]
 [ 0.04492838  0.95763385  0.28446239 -1.38771134]
 [ 0.44961354  0.23489633 -0.86178383  5.17052404]
 [ 0.          0.          0.          1.        ]]","[[-0.90896954  0.08707797 -0.4076663   0.92946969]
 [-0.06748952  0.93429748  0.3500477  -1.4824001 ]
 [ 0.41136304  0.3456959  -0.84337109  4.99259071]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,10,37,30,0.30775258577194753,0.32820541120080726,0.023939612851362903,0.022691171890141772,"[[-0.96353433  0.26451597  0.04040905  0.14346478]
 [-0.22157363 -0.70403823 -0.67471127  2.66031368]
 [-0.15002239 -0.65906105  0.73697477  0.5936771 ]
 [ 0.          0.          0.          1.        ]]","[[-0.95895415  0.28198547  0.02985196  0.17525847]
 [-0.21184458 -0.64246083 -0.73645499  2.86821682]
 [-0.18849089 -0.71255055  0.67582757  0.77215752]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,0,11,37,30,0.23604495642845713,0.2597638384840146,0.022754078192480893,0.021357462700059105,"[[ 0.90451451  0.0520666   0.42325236 -1.24077296]
 [-0.42638805  0.0945135   0.89958903 -1.67413467]
 [ 0.00683548 -0.99416109  0.10768941  2.68376844]
 [ 0.          0.          0.          1.        ]]","[[ 0.93053049  0.08988573  0.35501206 -1.09961299]
 [-0.35562159 -0.00968334  0.93457986 -1.72925777]
 [ 0.08744309 -0.99590501  0.02295467  2.83758623]
 [ 0.          0.          0.          1.        ]]"
