Scene,Target,Source,Fitness,Inlier RMSE,Transformation
sun3d-mit_76_studyroom-76-1studyroom2,35,38,0.3660154543468764,0.015285595440773889,"[[ 0.82110679 -0.23623305  0.51959367 -0.23414735]
 [ 0.26066836  0.96505548  0.02683144  0.11466729]
 [-0.50777519  0.11341015  0.85399209 -0.08195974]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,1,38,0.2812404434250764,0.017036588138834387,"[[ 0.98895856  0.11888531 -0.08847176  1.13610239]
 [-0.10949292  0.98849339  0.10436532 -0.15546091]
 [ 0.09986125 -0.09352595  0.9905961   0.47626408]
 [ 0.          0.          0.          1.        ]]"
sun3d-mit_76_studyroom-76-1studyroom2,1,36,0.4824655758257884,0.011323275565019997,"[[ 0.93651825  0.16733444 -0.30811159  1.33021225]
 [-0.12594194  0.98066391  0.14978962 -0.27194735]
 [ 0.32721888 -0.10147654  0.93948407  0.58772351]
 [ 0.          0.          0.          1.        ]]"
7-scenes-redkitchen,31,33,0.3998618139717279,0.01327367994239401,"[[ 0.58811725  0.65640146 -0.47249891 -0.08775801]
 [-0.44127786  0.75002333  0.49268535 -0.08886704]
 [ 0.67778459 -0.08125344  0.73075709 -0.01636025]
 [ 0.          0.          0.          1.        ]]"
7-scenes-redkitchen,3,12,0.8200405500116811,0.01036383341605615,"[[ 9.20817337e-01 -2.85297223e-01  2.65896457e-01  4.34880538e-01]
 [ 2.74269319e-01  9.58438911e-01  7.85569540e-02  2.19071362e-01]
 [-2.77257591e-01  5.90634968e-04  9.60795441e-01 -1.17968223e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
sun3d-hotel_umd-maryland_hotel1,15,23,0.49002969339353675,0.02157590338062891,"[[ 0.60503819 -0.41052672  0.68219983 -1.65168364]
 [ 0.57033309  0.82133199 -0.01157223  0.59566013]
 [-0.55556184  0.39608278  0.73107419 -0.49995982]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel1,50,54,0.613985468678442,0.011295875455185617,"[[ 0.92592616  0.14578329 -0.34843647  0.1771744 ]
 [-0.19278171  0.97570789 -0.10406408 -0.1151106 ]
 [ 0.32480141  0.16352783  0.93153781  0.08173467]
 [ 0.          0.          0.          1.        ]]"
sun3d-hotel_umd-maryland_hotel1,39,41,0.5526319300820601,0.014318914155764532,"[[ 0.58147384 -0.67819056  0.44938373 -0.08270803]
 [ 0.66623431  0.71395528  0.21540591 -0.18900038]
 [-0.46692614  0.17414196  0.86698014  0.32338343]
 [ 0.          0.          0.          1.        ]]"
sun3d-home_md-home_md_scan9_2012_sep_30,41,49,0.7958360547882509,0.010382210219205844,"[[ 9.81612430e-01 -1.90884083e-01  5.50628045e-04  1.70456666e-01]
 [ 1.80721662e-01  9.30273616e-01  3.19265846e-01 -3.28315848e-01]
 [-6.14550030e-02 -3.13295813e-01  9.47665034e-01  5.75517226e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
sun3d-home_md-home_md_scan9_2012_sep_30,41,45,0.41193724780208973,0.01596184751919382,"[[ 0.99919762 -0.03416665  0.02089849  0.1332907 ]
 [ 0.04002184  0.87177134 -0.48827552  0.18461088]
 [-0.00153596  0.48872013  0.87243927 -0.30947992]
 [ 0.          0.          0.          1.        ]]"
