Setting,Scene,Image,Object,RANSAC Iterations,ICP Iterations,RANSAC: Fitness,ICP: Fitness,RANSAC: Inlier RMSE,ICP: Inlier RMSE,RANSAC: Transformation,ICP: Transformation
full_scene,90,103,64,1,30,0.1931964629318254,0.4554849903076907,0.003094200327610985,0.002199661607928138,"[[-0.86875727  0.12108635  0.48020714  0.03112621]
 [ 0.08854114  0.99200227 -0.08995529 -0.08658929]
 [-0.48725893 -0.03563122 -0.87253032 -0.35405471]
 [ 0.          0.          0.          1.        ]]","[[-0.87539908 -0.34216078  0.34147102  0.01079434]
 [-0.47149157  0.76019271 -0.44699301 -0.09427783]
 [-0.1066403  -0.55229797 -0.82679792 -0.38197667]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,106,64,18,30,0.563524787679522,0.6141711201310871,0.0023067452061216113,0.0020296568670058546,"[[ 0.94038723 -0.05934726 -0.33488769  0.01988069]
 [ 0.26078614  0.75788615  0.59799596 -0.11387481]
 [ 0.21831732 -0.64968184  0.7281834  -0.39716655]
 [ 0.          0.          0.          1.        ]]","[[ 0.9841504  -0.11457483 -0.13535358  0.0303367 ]
 [ 0.17521244  0.74599595  0.64248786 -0.10943733]
 [ 0.02736028 -0.65602032  0.75424715 -0.39696102]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,108,64,2,30,0.17008128688164673,0.3957282440676998,0.0026924552139241187,0.0021695353459129244,"[[ 0.66904614  0.55826006 -0.49063527  0.03351434]
 [ 0.11684258  0.57293278  0.81123106 -0.12928235]
 [ 0.73397893 -0.60007811  0.31808992 -0.37351527]
 [ 0.          0.          0.          1.        ]]","[[ 0.97592927 -0.20789307 -0.06589782  0.03856584]
 [ 0.19223547  0.67733474  0.7101149  -0.12500045]
 [-0.10299308 -0.70568982  0.70099522 -0.37462466]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,109,64,9,30,0.7011270210160682,0.9164069556152921,0.0023768923871835515,0.0014711416683751194,"[[ 0.97276531 -0.06932952 -0.22118107  0.01602628]
 [ 0.21593846  0.61789246  0.75602877 -0.09432983]
 [ 0.084251   -0.78320006  0.61603526 -0.40530747]
 [ 0.          0.          0.          1.        ]]","[[ 0.97457102  0.00541247 -0.22401348  0.02209187]
 [ 0.17325917  0.61576825  0.76864213 -0.08707989]
 [ 0.14210063 -0.78790873  0.59917213 -0.40850961]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,111,64,38,30,0.9312042381987655,0.910534451429571,0.0021117020527824026,0.0014594014490265544,"[[ 0.95989257  0.04265731 -0.27710396  0.02014986]
 [ 0.20833029  0.55291317  0.80677476 -0.08275231]
 [ 0.18762927 -0.83214625  0.52185043 -0.40752486]
 [ 0.          0.          0.          1.        ]]","[[ 0.9697243   0.01613518 -0.24366872  0.02199158]
 [ 0.19695734  0.53822009  0.81946748 -0.08681975]
 [ 0.14436965 -0.84264987  0.51874715 -0.40489588]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,112,64,13,30,0.47405566919773384,0.8852916082093681,0.003146739314548062,0.001595494838985627,"[[ 0.95543018 -0.00168724 -0.29521234  0.02149825]
 [ 0.26519491  0.44427145  0.8557421  -0.09743581]
 [ 0.12971057 -0.89589064  0.42491779 -0.39965431]
 [ 0.          0.          0.          1.        ]]","[[ 0.97179788  0.00672164 -0.23571955  0.02291891]
 [ 0.20087767  0.49998832  0.8424131  -0.08857822]
 [ 0.12351942 -0.86600606  0.48453736 -0.39986425]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,113,64,15,29,0.8443090258068893,0.8866910134621357,0.002223881973897429,0.0016906737560622369,"[[ 9.67167023e-01 -7.56145519e-04 -2.54140469e-01  1.80910007e-02]
 [ 2.24703578e-01  4.69713433e-01  8.53743283e-01 -8.69982707e-02]
 [ 1.18727638e-01 -8.82818622e-01  4.54461251e-01 -3.99055271e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","[[ 0.97466731  0.00534841 -0.2235957   0.02375644]
 [ 0.19651084  0.45691515  0.86753215 -0.0890543 ]
 [ 0.10680418 -0.88949421  0.44428924 -0.39695279]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,128,64,5,20,0.8830425640531345,0.9043620746896854,0.00219576249822027,0.0015632032154624992,"[[ 0.99853605  0.03340847  0.04253969  0.00152361]
 [-0.05292433  0.44103861  0.89592632 -0.08915316]
 [ 0.01116989 -0.89686611  0.44216107 -0.40006023]
 [ 0.          0.          0.          1.        ]]","[[ 0.99895951  0.01834508 -0.04175361  0.00374714]
 [ 0.02897912  0.45160408  0.8917477  -0.08954072]
 [ 0.03521528 -0.89202983  0.45060257 -0.40043101]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,129,64,33,30,0.8733288352450209,0.9136866831596572,0.0017731093445861176,0.0014842100195067262,"[[ 0.99899805 -0.02950491 -0.03365056  0.00284733]
 [ 0.04393405  0.50329704  0.86299588 -0.09240036]
 [-0.00852639 -0.86360961  0.50408903 -0.39975931]
 [ 0.          0.          0.          1.        ]]","[[ 0.99897595  0.01418476 -0.04296321  0.00360177]
 [ 0.03025705  0.49655625  0.86747703 -0.08917772]
 [ 0.0336386  -0.86788864  0.49561856 -0.40306079]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,131,64,7,30,0.8364195217032762,0.901409757995709,0.0021847403638502166,0.0015806995655984074,"[[ 0.99541709  0.05313013 -0.07951103  0.00276003]
 [ 0.03413401  0.57928057  0.81441322 -0.0921662 ]
 [ 0.08932907 -0.81339487  0.57481223 -0.40745376]
 [ 0.          0.          0.          1.        ]]","[[ 0.99990734  0.00879819 -0.01038776  0.00399844]
 [ 0.00344688  0.57457685  0.81844338 -0.08433655]
 [ 0.01316939 -0.81840335  0.57449328 -0.41328708]
 [ 0.          0.          0.          1.        ]]"
