Setting,Scene,Image,Object,RANSAC Iterations,ICP Iterations,RANSAC: Fitness,ICP: Fitness,RANSAC: Inlier RMSE,ICP: Inlier RMSE,RANSAC: Transformation,ICP: Transformation
full_scene,90,0,64,4,30,0.0,0.0,0.0,0.0,"[[-0.08398177  0.99551606 -0.04352964 -0.15830727]
 [ 0.78552826  0.03926312 -0.61757895 -0.17388555]
 [-0.61310065 -0.08605913 -0.78530339 -0.51166068]
 [ 0.          0.          0.          1.        ]]","[[-0.021381    0.99926597  0.03178626 -0.1658998 ]
 [ 0.87227593  0.03418113 -0.48781796 -0.17388392]
 [-0.48854638  0.01729636 -0.87236648 -0.51352503]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,1,64,2,30,0.0,0.0,0.0,0.0,"[[-0.35146328 -0.93509939 -0.0454168  -0.08169948]
 [-0.90972648  0.32966677  0.25242334 -0.15580408]
 [-0.22106851  0.1300344  -0.96655045 -0.48046507]
 [ 0.          0.          0.          1.        ]]","[[-0.33403769 -0.92651254 -0.17318586 -0.08516077]
 [-0.91619421  0.2760117   0.29052661 -0.15414859]
 [-0.22137523  0.25571872 -0.94106373 -0.46731775]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,2,64,0,30,0.0,0.0,0.0,0.0,"[[ 1.00000000e+00  0.00000000e+00  0.00000000e+00 -1.41909886e-02]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00 -1.60112418e-04]
 [ 0.00000000e+00  0.00000000e+00  1.00000000e+00 -4.71103861e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","[[ 0.92266862  0.06972075  0.37923822 -0.02707404]
 [-0.0031114   0.98483148 -0.17348568 -0.00127492]
 [-0.38558129  0.15888983  0.90889003 -0.4802379 ]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,3,64,3,30,0.0,0.0,0.0,0.0,"[[ 0.93403944  0.17383289  0.31201355  0.02537617]
 [-0.34806944  0.24706966  0.9043253  -0.13536283]
 [ 0.08011239 -0.95327788  0.29127872 -0.43492231]
 [ 0.          0.          0.          1.        ]]","[[ 0.76690009 -0.12828668  0.62881379  0.02581898]
 [-0.53274869  0.4190596   0.73523322 -0.13553028]
 [-0.35783109 -0.89885014  0.25303229 -0.44260847]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,4,64,6,30,0.0,0.0,0.0,0.0,"[[-0.86598269 -0.30936047 -0.39289959  0.01949806]
 [-0.06458491  0.84829173 -0.5255758  -0.10070616]
 [ 0.49588585 -0.42976416 -0.75458597 -0.44648243]
 [ 0.          0.          0.          1.        ]]","[[-0.77957764 -0.30820649 -0.54522239  0.02847405]
 [ 0.17576687  0.72789015 -0.66278348 -0.10908622]
 [ 0.60113618 -0.61252322 -0.51327439 -0.44663955]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,5,64,8,30,0.0,0.0,0.0,0.0,"[[ 0.88082809 -0.06402609 -0.46908691  0.03287788]
 [-0.39196855 -0.65431267 -0.64671136 -0.10878232]
 [-0.26552311  0.75350885 -0.6014332  -0.46422418]
 [ 0.          0.          0.          1.        ]]","[[ 0.62732396  0.19201042 -0.75471627  0.05195953]
 [-0.58180624 -0.52864103 -0.61809398 -0.13424143]
 [-0.51765447  0.8268438  -0.21991632 -0.46990787]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,6,64,14,30,0.0,0.0,0.0,0.0,"[[ 0.14971746 -0.81341576  0.56208495 -0.01274251]
 [ 0.14219737  0.58029676  0.80189499 -0.12612327]
 [-0.9784501  -0.04013068  0.20254614 -0.44347717]
 [ 0.          0.          0.          1.        ]]","[[ 0.39471806 -0.78448929  0.47830346 -0.00887229]
 [ 0.1868513   0.57823161  0.79418813 -0.12359755]
 [-0.89960227 -0.22410878  0.37482131 -0.44572658]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,7,64,2,30,0.0,0.0,0.0,0.0,"[[-0.22812935 -0.87853906  0.41967383 -0.02891013]
 [-0.16295043 -0.3905087  -0.90606297 -0.13981532]
 [ 0.95989799 -0.27508559 -0.05407182 -0.46679528]
 [ 0.          0.          0.          1.        ]]","[[-0.31979441 -0.79669979  0.51283621 -0.05919593]
 [-0.65177389 -0.20787404 -0.72936903 -0.13654322]
 [ 0.68769349 -0.56750139 -0.45279116 -0.47874445]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,8,64,0,30,0.0,0.0,0.0,0.0,"[[ 1.          0.          0.         -0.01549426]
 [ 0.          1.          0.         -0.00618279]
 [ 0.          0.          1.         -0.48289973]
 [ 0.          0.          0.          1.        ]]","[[ 0.96774588  0.16087414  0.19387477 -0.03266035]
 [-0.09458208  0.94527689 -0.31225925 -0.01337882]
 [-0.23349977  0.28385053  0.93000362 -0.47141066]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,9,64,1,30,0.0,0.0,0.0,0.0,"[[ 0.70455909 -0.68947043 -0.16800894 -0.04376832]
 [ 0.58610905  0.69884243 -0.40999444 -0.22559804]
 [ 0.40009082  0.19039375  0.89648065 -0.54240968]
 [ 0.          0.          0.          1.        ]]","[[ 0.53687233 -0.83951277 -0.08358472 -0.03188742]
 [ 0.6597022   0.4794983  -0.57868332 -0.20709768]
 [ 0.52589077  0.25553804  0.8112578  -0.5474941 ]
 [ 0.          0.          0.          1.        ]]"
