Setting,Scene,Image,Object,RANSAC Iterations,ICP Iterations,RANSAC: Fitness,ICP: Fitness,RANSAC: Inlier RMSE,ICP: Inlier RMSE,RANSAC: Transformation,ICP: Transformation
single_object,90,0,64,35,30,0.5166340019777309,0.574277360693134,0.0024650823733535776,0.0023307061699954523,"[[-0.86375198  0.2414373  -0.44231272 -0.00316581]
 [-0.50187083 -0.33313833  0.79821333 -0.08091415]
 [ 0.04536715  0.9114422   0.40891923 -0.44029322]
 [ 0.          0.          0.          1.        ]]","[[-0.8906938   0.16124927 -0.42504497 -0.00520964]
 [-0.45416248 -0.35680987  0.81634745 -0.08286723]
 [-0.02002481  0.92015509  0.39104171 -0.43691028]
 [ 0.          0.          0.          1.        ]]"
single_object,90,1,64,17,28,0.20096459004922906,0.2570943063483734,0.0030923861065335683,0.002976680516241346,"[[-0.19483645 -0.01875961 -0.98065633  0.08799929]
 [ 0.92825124  0.31944617 -0.19053552  0.02119183]
 [ 0.31684128 -0.94741871 -0.04482613 -0.36889065]
 [ 0.          0.          0.          1.        ]]","[[-0.20957358  0.009717   -0.9777446   0.09116042]
 [ 0.93420786  0.29720887 -0.19728803  0.0137138 ]
 [ 0.28867731 -0.95476304 -0.07136482 -0.36118752]
 [ 0.          0.          0.          1.        ]]"
single_object,90,2,64,23,30,0.16945655239380406,0.17042756828347952,0.0032035922520170027,0.0031620866153770004,"[[-0.2914421  -0.10693191  0.95059301  0.07160785]
 [-0.85161313  0.48160031 -0.20692081  0.02403558]
 [-0.43567945 -0.86984292 -0.23142322 -0.37944155]
 [ 0.          0.          0.          1.        ]]","[[-0.08582836 -0.18735354  0.97853571  0.06885516]
 [-0.95000457  0.31133396 -0.02371688  0.0241519 ]
 [-0.30020795 -0.93164898 -0.204708   -0.38784751]
 [ 0.          0.          0.          1.        ]]"
single_object,90,3,64,23,30,0.2086184800031415,0.17807431841467378,0.0029636115808039467,0.0029217819939807025,"[[-0.200977   -0.09177016  0.9752879   0.07053882]
 [-0.79045679  0.60325405 -0.10612549  0.02797329]
 [-0.57860722 -0.79225172 -0.19378054 -0.3968622 ]
 [ 0.          0.          0.          1.        ]]","[[-0.67640525 -0.13075874  0.7248297   0.06410172]
 [-0.60294521  0.66350303 -0.44296817  0.02562507]
 [-0.42300474 -0.73665859 -0.52763729 -0.41496142]
 [ 0.          0.          0.          1.        ]]"
single_object,90,4,64,16,30,0.2938322641448813,0.3100075325129677,0.003099472071001943,0.002664052722230261,"[[-0.05317104  0.09685955 -0.99387679  0.09252752]
 [ 0.94433952  0.32845123 -0.01851123  0.01452708]
 [ 0.32464707 -0.93954139 -0.1089324  -0.38612195]
 [ 0.          0.          0.          1.        ]]","[[-0.15799311  0.03565274 -0.98679636  0.08823942]
 [ 0.89274995  0.43218857 -0.12732073  0.00280696]
 [ 0.42194277 -0.9010782  -0.1001118  -0.38689126]
 [ 0.          0.          0.          1.        ]]"
single_object,90,5,64,11,30,0.20310296695333055,0.35094727597913744,0.003401453297833789,0.0024447890442683786,"[[ 0.9436672  -0.29428521  0.15128922  0.09578911]
 [-0.07949532  0.24219471  0.96696547  0.01472837]
 [-0.32120508 -0.92452038  0.2051569  -0.37823959]
 [ 0.          0.          0.          1.        ]]","[[ 0.9315487  -0.20221019 -0.30220534  0.09877335]
 [ 0.33250963  0.13737703  0.93304068  0.01753082]
 [-0.14715426 -0.96965901  0.19521022 -0.38949726]
 [ 0.          0.          0.          1.        ]]"
single_object,90,6,64,57,30,0.3268682238620015,0.36140711626130323,0.0024495797523700325,0.0022604559560166016,"[[-0.03953111  0.03036314 -0.99875691  0.0879789 ]
 [ 0.86568241  0.50023075 -0.0190565   0.00727051]
 [ 0.49903031 -0.86535962 -0.04605952 -0.4036167 ]
 [ 0.          0.          0.          1.        ]]","[[ 7.85073675e-02  5.90353013e-02 -9.95164020e-01  8.69840806e-02]
 [ 8.62396766e-01  4.96754630e-01  9.75020773e-02  4.74719075e-04]
 [ 5.00108399e-01 -8.65880864e-01 -1.19129546e-02 -3.91760321e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
single_object,90,7,64,20,30,0.3188751923289745,0.3605824667373509,0.0024024570838681583,0.002241461694874333,"[[-0.63138424 -0.22152268  0.74315655  0.09309343]
 [-0.75748711  0.38136565 -0.52988066  0.04032132]
 [-0.1660338  -0.8974898  -0.40858884 -0.38513313]
 [ 0.          0.          0.          1.        ]]","[[-0.86574129 -0.27312628  0.41939725  0.09376141]
 [-0.50045039  0.48318482 -0.71838836  0.04182849]
 [-0.00643564 -0.83182598 -0.55499921 -0.3921693 ]
 [ 0.          0.          0.          1.        ]]"
single_object,90,8,64,28,30,0.44472527747136037,0.41771532812840256,0.0022031944154210577,0.0022076670024011,"[[ 0.39040844  0.10230385 -0.91493998  0.088397  ]
 [ 0.74378231  0.55062695  0.37894305  0.00406153]
 [ 0.54255794 -0.82845874  0.13887762 -0.39921711]
 [ 0.          0.          0.          1.        ]]","[[-0.03227966  0.01795716 -0.99931755  0.09031854]
 [ 0.83500263  0.54998052 -0.01708918 -0.01222334]
 [ 0.54929832 -0.83498441 -0.03274746 -0.37906544]
 [ 0.          0.          0.          1.        ]]"
single_object,90,9,64,17,30,0.27621832149907716,0.26410204234628853,0.0023142855205110233,0.0024298092124055634,"[[-0.95967277  0.25757685  0.11261588  0.07454495]
 [ 0.08140678  0.63806318 -0.76566854  0.01243081]
 [-0.26907454 -0.72562355 -0.63330037 -0.36053774]
 [ 0.          0.          0.          1.        ]]","[[-0.91151383  0.36339115  0.19258611  0.07708137]
 [ 0.1067278   0.6612375  -0.74254572  0.0139208 ]
 [-0.39717971 -0.6562864  -0.64151107 -0.36656702]
 [ 0.          0.          0.          1.        ]]"
