Setting,Scene,Image,Object,RANSAC Iterations,ICP Iterations,RANSAC: Fitness,ICP: Fitness,RANSAC: Inlier RMSE,ICP: Inlier RMSE,RANSAC: Transformation,ICP: Transformation
full_scene,90,106,64,23,30,0.6277903319660573,0.6392925863650806,0.0021483675549090952,0.001860657520016336,"[[-0.98267219 -0.0018372  -0.1853429   0.01869997]
 [-0.08465466 -0.88511628  0.45760547 -0.11898699]
 [-0.16489073  0.46536631  0.86962362 -0.39341518]
 [ 0.          0.          0.          1.        ]]","[[-0.91527604 -0.21035249 -0.34354271  0.01048215]
 [ 0.04716794 -0.90292642  0.42719908 -0.11910036]
 [-0.40005618  0.37480088  0.83634882 -0.39682064]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,107,64,34,30,0.4619536696903816,0.48881368275625714,0.0026810088741732,0.002446196641661805,"[[-0.99418165 -0.05716364 -0.09129709  0.01233464]
 [ 0.01201808  0.78341171 -0.62138688 -0.06233425]
 [ 0.10704394 -0.61886866 -0.77816655 -0.40655866]
 [ 0.          0.          0.          1.        ]]","[[-0.97081129  0.00562047  0.23977876 -0.00340991]
 [-0.11882683  0.85713691 -0.50119508 -0.06668079]
 [-0.20834018 -0.51505799 -0.83145032 -0.40835377]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,133,64,26,30,0.4874499766170806,0.9123586761340716,0.002645545389939444,0.001661289318892378,"[[ 0.90723634  0.14145774  0.39612111  0.00960513]
 [-0.39297689  0.62083623  0.67832997 -0.09018184]
 [-0.14997131 -0.77107204  0.61883481 -0.41833198]
 [ 0.          0.          0.          1.        ]]","[[ 0.9999812   0.00542741  0.00285417  0.00390073]
 [-0.00570088  0.65135192  0.75875436 -0.08382023]
 [ 0.002259   -0.75875636  0.65137062 -0.41693941]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,134,64,41,22,0.6376182979376622,0.9220545553853898,0.0021742448905385688,0.0015899315443099898,"[[ 0.93695057  0.34219861  0.07087836  0.01441294]
 [-0.29308169  0.65899018  0.69270129 -0.08033183]
 [ 0.19033327 -0.66980002  0.71773337 -0.41924694]
 [ 0.          0.          0.          1.        ]]","[[ 0.99946603  0.01643787 -0.02823908  0.0030006 ]
 [ 0.00942288  0.6825263   0.73080029 -0.08168499]
 [ 0.03128672 -0.73067616  0.68200696 -0.42010284]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,135,64,47,30,0.5461821582970094,0.9327107407923061,0.002721840878515411,0.0014291610546904275,"[[ 0.93065311 -0.00162123  0.36589911  0.00254805]
 [-0.25289772  0.71984359  0.64642706 -0.07860808]
 [-0.26443813 -0.69413441  0.66951467 -0.42821142]
 [ 0.          0.          0.          1.        ]]","[[ 0.99847498  0.02015409 -0.05139574  0.00240604]
 [ 0.02124306  0.71903288  0.69465131 -0.0810836 ]
 [ 0.05095529 -0.69468376  0.71750821 -0.42155061]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,136,64,23,30,0.33823482162937896,0.3605039286874507,0.002598442233057163,0.002346518901879388,"[[ 0.08446131  0.86787503  0.48955001  0.03766461]
 [-0.82963968 -0.21085973  0.51694891 -0.05937822]
 [ 0.55187343 -0.4498123   0.70221408 -0.46766248]
 [ 0.          0.          0.          1.        ]]","[[ 0.20513277  0.86095292  0.46548966  0.03589827]
 [-0.79657014 -0.12948101  0.59051729 -0.0544204 ]
 [ 0.56867966 -0.49192961  0.65924859 -0.4672371 ]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,137,64,47,30,0.739203695572239,0.9255887676308997,0.0021200686724358263,0.001482818848623531,"[[ 9.56096507e-01  2.10224781e-01  2.04169074e-01 -1.53519219e-02]
 [-2.93051758e-01  6.86745930e-01  6.65207257e-01 -8.51605413e-02]
 [-3.69230514e-04 -6.95834441e-01  7.18202126e-01 -4.12473973e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","[[ 0.98498748  0.01221646  0.17219301 -0.01493822]
 [-0.1339168   0.68351713  0.71754486 -0.08021185]
 [-0.10893101 -0.72983223  0.6748918  -0.41866541]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,163,64,37,30,0.7717612871672397,0.9323823089472688,0.002050809235680407,0.0014592916852644432,"[[ 0.88782393  0.14608043  0.43638191 -0.03073056]
 [-0.41709371  0.65608598  0.6289547  -0.08496296]
 [-0.19442608 -0.74041319  0.64341807 -0.40612452]
 [ 0.          0.          0.          1.        ]]","[[ 0.94248467  0.02046079  0.33362253 -0.03334835]
 [-0.26615084  0.64975358  0.7120281  -0.07786443]
 [-0.20220378 -0.75986949  0.61782845 -0.41329056]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,164,64,40,30,0.8801366562068264,0.929272916153492,0.0020442312162966846,0.001434602762838439,"[[ 0.91501918  0.04866134  0.4004647  -0.03135019]
 [-0.32140377  0.68787693  0.65078794 -0.07188581]
 [-0.24380222 -0.72419431  0.64506052 -0.42180632]
 [ 0.          0.          0.          1.        ]]","[[ 0.9485649   0.02902058  0.31524981 -0.03338762]
 [-0.24924969  0.68241712  0.68715461 -0.07544001]
 [-0.19519024 -0.73038666  0.6545503  -0.4167796 ]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,165,64,29,30,0.8346345660237257,0.9340244681724553,0.0021284894963918646,0.0014512039978018608,"[[ 0.94749364  0.12271368  0.29529165 -0.03063658]
 [-0.29736958  0.67769545  0.67253268 -0.07161274]
 [-0.11758885 -0.72503119  0.67860344 -0.42141642]
 [ 0.          0.          0.          1.        ]]","[[ 0.94697507  0.03249291  0.31965987 -0.03319348]
 [-0.24516129  0.71613998  0.65348257 -0.07538657]
 [-0.20768766 -0.69719992  0.68613271 -0.41863152]
 [ 0.          0.          0.          1.        ]]"
