Setting,Scene,Image,Object,RANSAC Iterations,ICP Iterations,RANSAC: Fitness,ICP: Fitness,RANSAC: Inlier RMSE,ICP: Inlier RMSE,RANSAC: Transformation,ICP: Transformation
full_scene,90,0,64,38,30,0.0,0.0,0.0,0.0,"[[ 0.92997557  0.36443738 -0.04827876  0.06803218]
 [ 0.36704317 -0.91310873  0.17751554  0.04822543]
 [ 0.02060954 -0.18280551 -0.98293306 -0.4571583 ]
 [ 0.          0.          0.          1.        ]]","[[ 0.88415294  0.40608052  0.23102424  0.0721927 ]
 [ 0.35116912 -0.903783    0.24465595  0.04940852]
 [ 0.30814579 -0.13518469 -0.94168533 -0.46143857]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,1,64,58,30,0.010731153545457466,0.02586757770804551,0.003516836440143072,0.0029448995988419296,"[[ 0.53430997 -0.81280565 -0.23207721  0.06910588]
 [ 0.84039954  0.54029233  0.04257718  0.1132216 ]
 [ 0.09078256 -0.217787    0.97176507 -0.42871561]
 [ 0.          0.          0.          1.        ]]","[[ 0.48366627 -0.84127475 -0.24150307  0.06604341]
 [ 0.81178903  0.53433422 -0.23555361  0.11388136]
 [ 0.32720866 -0.08212021  0.94137706 -0.42657159]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,2,64,46,30,0.0,0.0,0.0,0.0,"[[ 0.10311102  0.98409608  0.1446479  -0.13233338]
 [ 0.99442953 -0.10518683  0.00675646  0.05438807]
 [ 0.02186406  0.14314548 -0.98946012 -0.44145756]
 [ 0.          0.          0.          1.        ]]","[[ 0.08423981  0.98248539  0.16621106 -0.12785192]
 [ 0.93989535 -0.13373956  0.31418221  0.05734564]
 [ 0.33090842  0.12975435 -0.93469964 -0.44132491]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,3,64,44,30,0.0,0.0,0.0,0.0,"[[-0.9922417   0.07337158 -0.10036439  0.26983653]
 [ 0.01279342  0.86325601  0.50460419 -0.1290345 ]
 [ 0.12366377  0.49940531 -0.85749729 -0.46701902]
 [ 0.          0.          0.          1.        ]]","[[-0.99665163 -0.08100529 -0.01112084  0.2791347 ]
 [-0.07572958  0.86322064  0.49911438 -0.12326719]
 [-0.03083117  0.49828533 -0.86646475 -0.4682008 ]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,4,64,50,30,0.002213345042642591,0.013708459618947661,0.003543443035753283,0.0036809097521905668,"[[ 0.35131919 -0.9362512   0.00291885  0.09110782]
 [ 0.92404916  0.34623535 -0.16203158  0.09096906]
 [ 0.15069165  0.05962196  0.98678126 -0.41652928]
 [ 0.          0.          0.          1.        ]]","[[ 0.42327242 -0.88026914 -0.21439846  0.09133356]
 [ 0.8152301   0.47328974 -0.33376144  0.09304783]
 [ 0.39527248 -0.03351207  0.9179524  -0.41897862]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,5,64,52,27,0.04253192393232876,0.04069698949375087,0.0030895783925230184,0.002936038593961809,"[[-0.29176487 -0.93898415 -0.18215933  0.08783036]
 [ 0.7940734  -0.13162031 -0.59339998  0.06480857]
 [ 0.53321731 -0.31778115  0.78402452 -0.42844126]
 [ 0.          0.          0.          1.        ]]","[[-0.14256685 -0.96902232 -0.20166912  0.09147396]
 [ 0.91305244 -0.05009656 -0.40475372  0.06884182]
 [ 0.38211246 -0.24183894  0.89191031 -0.42594795]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,6,64,36,30,0.0,0.0,0.0,0.0,"[[-0.45037469  0.88103084  0.14473183  0.15668427]
 [-0.75381831 -0.28835107 -0.59043342  0.06651876]
 [-0.47845647 -0.37501777  0.7940032  -0.42481601]
 [ 0.          0.          0.          1.        ]]","[[-0.49862374  0.8542096   0.14731033  0.15590315]
 [-0.81302911 -0.40194599 -0.42121619  0.06592147]
 [-0.30059612 -0.32979598  0.89491708 -0.42100996]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,7,64,28,30,0.0,0.0,0.0,0.0,"[[ 0.82927458 -0.53738363 -0.1533705   0.1351297 ]
 [ 0.45019179  0.80500073 -0.38639511  0.07659889]
 [ 0.33110577  0.2513815   0.90949234 -0.41265834]
 [ 0.          0.          0.          1.        ]]","[[ 0.57667574 -0.81640546 -0.03045015  0.13052343]
 [ 0.7707545   0.55603207 -0.31107209  0.0828646 ]
 [ 0.27089221  0.15591813  0.94989839 -0.41006679]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,8,64,41,30,0.0,0.014907949835605581,0.0,0.003446647169560141,"[[ 0.71734488 -0.68033492 -0.15020224  0.11125836]
 [ 0.57138113  0.69782449 -0.43193123  0.09610852]
 [ 0.39867269  0.22402093  0.88931137 -0.39865439]
 [ 0.          0.          0.          1.        ]]","[[ 0.59565079 -0.7755417  -0.20912965  0.10506123]
 [ 0.62308393  0.61042549 -0.48902672  0.08553005]
 [ 0.50691869  0.16098383  0.84682799 -0.40591151]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,9,64,25,30,0.0,0.004376711326257769,0.0,0.00413363956325056,"[[ 0.70097315 -0.71195898  0.04184564  0.10742856]
 [ 0.71299292  0.7009455  -0.01779057  0.10668237]
 [-0.01666536  0.04230635  0.99896568 -0.40062511]
 [ 0.          0.          0.          1.        ]]","[[ 0.64201357 -0.74964295 -0.16079188  0.10007253]
 [ 0.63042259  0.63551764 -0.44574061  0.09316519]
 [ 0.43633238  0.18480469  0.88060279 -0.39747411]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,10,64,43,30,0.0,0.0,0.0,0.0,"[[-0.67439798  0.66756147  0.31551393  0.01507732]
 [ 0.73824843  0.6019361   0.30440464  0.0530061 ]
 [ 0.01328959  0.43821754 -0.8987707  -0.41085044]
 [ 0.          0.          0.          1.        ]]","[[-0.70212137  0.64074387  0.31060082  0.01736595]
 [ 0.71160121  0.64700803  0.27386917  0.05178134]
 [-0.02548123  0.41331332 -0.91023228 -0.41331106]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,11,64,24,30,0.0,0.0,0.0,0.0,"[[-0.37451645  0.79631454  0.47499535  0.16746821]
 [-0.92720307 -0.32475623 -0.18662224  0.073037  ]
 [ 0.0056477  -0.51031025  0.85997183 -0.42110485]
 [ 0.          0.          0.          1.        ]]","[[-0.52306913  0.76025857  0.38523447  0.16733121]
 [-0.84910224 -0.50390025 -0.15846112  0.06349607]
 [ 0.07364832 -0.40998958  0.90911191 -0.41115722]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,12,64,6,30,0.0,0.0,0.0,0.0,"[[ 0.80322184 -0.56769151  0.18044673  0.15312813]
 [ 0.52165332  0.52409918 -0.67319972  0.064183  ]
 [ 0.28759778  0.63485935  0.71710607 -0.4289001 ]
 [ 0.          0.          0.          1.        ]]","[[ 0.846453   -0.52322013  0.09878269  0.15391278]
 [ 0.4033036   0.50886969 -0.76052472  0.05427605]
 [ 0.34765432  0.68358784  0.64175084 -0.43438869]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,13,64,24,30,0.0,0.0,0.0,0.0,"[[ 0.479404    0.84581197 -0.23403827  0.03072026]
 [-0.87492295  0.43984372 -0.20260141  0.06575603]
 [-0.06842243  0.30189338  0.95088315 -0.41168689]
 [ 0.          0.          0.          1.        ]]","[[ 0.39483263  0.85133104 -0.34546005  0.04290923]
 [-0.91792055  0.38153001 -0.10888855  0.0675645 ]
 [ 0.03910318  0.36009763  0.93209476 -0.41019376]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,14,64,13,30,0.059692487835527046,0.07511093499548406,0.003263770479903344,0.0027634927815792373,"[[ 0.69575464 -0.45205608  0.55818526  0.08255449]
 [-0.71798596 -0.41548489  0.55845186  0.05816327]
 [-0.02053402 -0.78931464 -0.61364546 -0.41517307]
 [ 0.          0.          0.          1.        ]]","[[ 0.77014674 -0.52540016  0.36170246  0.0847291 ]
 [-0.60550296 -0.4238425   0.67359016  0.05062638]
 [-0.2005995  -0.73777517 -0.64455227 -0.40925332]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,15,64,22,30,0.0,0.0,0.0,0.0,"[[ 0.74863376  0.65366645  0.11075947 -0.0550714 ]
 [-0.39973086  0.57830967 -0.71117731 -0.03814214]
 [-0.52892602  0.48813737  0.6942328  -0.51693441]
 [ 0.          0.          0.          1.        ]]","[[ 0.71135946  0.70142578 -0.04438016 -0.07043696]
 [-0.55861129  0.52594295 -0.64135593 -0.04522736]
 [-0.42652216  0.48102586  0.76595885 -0.52630648]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,16,64,13,30,0.03719133653911373,0.06940264673228164,0.0028259936559219714,0.002722759852759406,"[[-0.38608883  0.91529072  0.11479684  0.01096933]
 [-0.92174769 -0.38768615 -0.00898068  0.03866769]
 [ 0.03628522 -0.10928106  0.99334839 -0.42969465]
 [ 0.          0.          0.          1.        ]]","[[-0.2827901   0.95794787  0.04863773  0.01348854]
 [-0.9582034  -0.28442796  0.0307729   0.03601047]
 [ 0.04331277 -0.03790257  0.99834233 -0.42739537]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,17,64,29,30,0.0,0.0,0.0,0.0,"[[-6.21596134e-01  7.21355664e-01  3.05391963e-01 -3.87723723e-04]
 [ 7.80291526e-01  6.04535001e-01  1.60257815e-01  6.01596899e-02]
 [-6.90172486e-02  3.37910399e-01 -9.38644332e-01 -3.99507654e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","[[-7.64413975e-01  5.89917301e-01  2.60132376e-01  4.75765534e-04]
 [ 6.44514385e-01  7.09531817e-01  2.84896134e-01  4.37150685e-02]
 [-1.65070390e-02  3.85437645e-01 -9.22586223e-01 -4.01498415e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
full_scene,90,18,64,24,30,0.0,0.0,0.0,0.0,"[[-0.87975273  0.44233543  0.17428282  0.24086924]
 [-0.47477091 -0.79805541 -0.3710797   0.06413837]
 [-0.02505435 -0.40920279  0.91209942 -0.39192958]
 [ 0.          0.          0.          1.        ]]","[[-0.89495238  0.40196732 -0.19360402  0.24051178]
 [-0.27072161 -0.83416808 -0.48049289  0.06120177]
 [-0.35464073 -0.37760547  0.85536195 -0.39844285]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,19,64,22,30,0.01595393386382216,0.0049657467005094266,0.0029984040252504273,0.0040380153981847905,"[[ 0.9878017  -0.13047333 -0.08499713  0.13063099]
 [ 0.0788183   0.8896904  -0.44970953  0.09187109]
 [ 0.13429623  0.43752451  0.88912138 -0.38484927]
 [ 0.          0.          0.          1.        ]]","[[ 0.84883832 -0.51086413 -0.13598292  0.11463257]
 [ 0.37078436  0.75867028 -0.53566628  0.0806753 ]
 [ 0.37681889  0.40427373  0.83340883 -0.39065684]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,20,64,26,30,0.0,0.0,0.0,0.0,"[[-0.89246546  0.27077671  0.3608121  -0.31611827]
 [-0.44943618 -0.60265052 -0.65940842 -0.19530589]
 [ 0.03889116 -0.75066126  0.65954163 -0.67047113]
 [ 0.          0.          0.          1.        ]]","[[-0.86693712  0.48756992  0.10341954 -0.32092523]
 [-0.38908202 -0.53234984 -0.75181037 -0.19375793]
 [-0.31150474 -0.692011    0.65121853 -0.6656593 ]
 [ 0.          0.          0.          1.        ]]"
