Setting,Pipeline,Rank,Object,Recall (%),Mean RANSAC Iterations,STD RANSAC Iterations,Mean ICP Iterations,STD ICP Iterations,RANSAC: Mean Fitness,RANSAC: STD Fitness,ICP: Mean Fitness,ICP: STD Fitness,RANSAC: Mean Inlier RMSE,RANSAC: STD Inlier RMSE,ICP: Mean Inlier RMSE,ICP: STD Inlier RMSE
Full Scene,Deep Learning,Top 1,64,32.8125,,,,,,,,,,,,
Full Scene,Deep Learning,Top 2,9,12.20703125,,,,,,,,,,,,
Full Scene,Deep Learning,Top 3,63,9.86328125,,,,,,,,,,,,
Full Scene,Deep Learning,Bottom 3,64,32.8125,,,,,,,,,,,,
Full Scene,Deep Learning,Bottom 2,9,12.20703125,,,,,,,,,,,,
Full Scene,Deep Learning,Bottom 1,63,9.86328125,,,,,,,,,,,,
Full Scene,Geometric-Only,Top 1,9,8.984375,28.77173913043478,8.607565367603831,27.206521739130434,4.8392580565603,0.3734077097564449,0.12359238983979769,0.5468221447755289,0.14829919874729786,0.0026878289878160015,0.00017910458121727323,0.002284872701849172,0.00016255665191817096
Full Scene,Geometric-Only,Top 2,63,8.59375,59.35227272727273,18.620863205004152,29.34090909090909,2.444258407790456,0.41534898180718915,0.16148236780906527,0.5659588767490068,0.21690342911996544,0.002547974170121782,0.00028238611462318977,0.0020959160505007574,0.00027208289454073477
Full Scene,Geometric-Only,Top 3,64,8.203125,36.23809523809524,9.092504347416153,29.357142857142858,2.4277001921564607,0.5842352034398985,0.16248659439079252,0.8005868764278584,0.15866480682303255,0.002435896645260292,0.00033917312947074566,0.001689679835929538,0.00033156018790682937
Full Scene,Geometric-Only,Bottom 3,9,8.984375,28.77173913043478,8.607565367603831,27.206521739130434,4.8392580565603,0.3734077097564449,0.12359238983979769,0.5468221447755289,0.14829919874729786,0.0026878289878160015,0.00017910458121727323,0.002284872701849172,0.00016255665191817096
Full Scene,Geometric-Only,Bottom 2,63,8.59375,59.35227272727273,18.620863205004152,29.34090909090909,2.444258407790456,0.41534898180718915,0.16148236780906527,0.5659588767490068,0.21690342911996544,0.002547974170121782,0.00028238611462318977,0.0020959160505007574,0.00027208289454073477
Full Scene,Geometric-Only,Bottom 1,64,8.203125,36.23809523809524,9.092504347416153,29.357142857142858,2.4277001921564607,0.5842352034398985,0.16248659439079252,0.8005868764278584,0.15866480682303255,0.002435896645260292,0.00033917312947074566,0.001689679835929538,0.00033156018790682937
Single Object,Deep Learning,Top 1,63,93.75,,,,,,,,,,,,
Single Object,Deep Learning,Top 2,64,92.96875,,,,,,,,,,,,
Single Object,Deep Learning,Top 3,9,62.01171875,,,,,,,,,,,,
Single Object,Deep Learning,Bottom 3,63,93.75,,,,,,,,,,,,
Single Object,Deep Learning,Bottom 2,64,92.96875,,,,,,,,,,,,
Single Object,Deep Learning,Bottom 1,9,62.01171875,,,,,,,,,,,,
Single Object,Geometric-Only,Top 1,63,99.0234375,81.42998027613412,30.008036577384075,28.921104536489153,3.421909600477377,0.5822354820558477,0.1406248935101573,0.7212075456904427,0.1668623742759479,0.0024589897885683846,0.00025806858419169445,0.0019506719674587333,0.00023925273370312264
Single Object,Geometric-Only,Top 2,64,92.3828125,85.39323467230444,46.59337395495472,29.636363636363637,2.019740787957527,0.5393473554470247,0.19549209121086553,0.6508530537161391,0.18590973235843297,0.002480351518610857,0.0003350572397482377,0.0019638450864743182,0.000325582884628875
Single Object,Geometric-Only,Top 3,9,80.37109375,145.7108140947752,82.19291571578411,25.54678007290401,6.0885546336547725,0.3878451839251827,0.11509571384056336,0.5104660294919559,0.11964189013267361,0.002618513485749519,0.0002038953307876781,0.0022080163457467664,0.00013572417936005715
Single Object,Geometric-Only,Bottom 3,63,99.0234375,81.42998027613412,30.008036577384075,28.921104536489153,3.421909600477377,0.5822354820558477,0.1406248935101573,0.7212075456904427,0.1668623742759479,0.0024589897885683846,0.00025806858419169445,0.0019506719674587333,0.00023925273370312264
Single Object,Geometric-Only,Bottom 2,64,92.3828125,85.39323467230444,46.59337395495472,29.636363636363637,2.019740787957527,0.5393473554470247,0.19549209121086553,0.6508530537161391,0.18590973235843297,0.002480351518610857,0.0003350572397482377,0.0019638450864743182,0.000325582884628875
Single Object,Geometric-Only,Bottom 1,9,80.37109375,145.7108140947752,82.19291571578411,25.54678007290401,6.0885546336547725,0.3878451839251827,0.11509571384056336,0.5104660294919559,0.11964189013267361,0.002618513485749519,0.0002038953307876781,0.0022080163457467664,0.00013572417936005715
