Setting,Scene,Image,Object,RANSAC Iterations,ICP Iterations,RANSAC: Fitness,ICP: Fitness,RANSAC: Inlier RMSE,ICP: Inlier RMSE,RANSAC: Transformation,ICP: Transformation
full_scene,90,1,12,5,29,0.8069860484201887,0.8644593762823143,0.0026025041466586863,0.0014378472144067698,"[[-0.93343811 -0.28277443  0.22075307 -0.05532038]
 [-0.24304986  0.04589632 -0.96892739  0.04270566]
 [ 0.26385614 -0.95808776 -0.11156966 -0.4443056 ]
 [ 0.          0.          0.          1.        ]]","[[-0.59869996 -0.65965183 -0.45433228 -0.05047394]
 [ 0.01177061  0.55991814 -0.82846432  0.04448853]
 [ 0.80088689 -0.50134932 -0.32745846 -0.44464865]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,2,12,16,20,0.8377359458350431,0.8502769798933114,0.0020011881449956744,0.00156925607390312,"[[-0.09690641 -0.30866363 -0.94622191 -0.05030196]
 [ 0.29778239  0.89815664 -0.32348153  0.05159414]
 [ 0.94970248 -0.31311565  0.00487746 -0.44004591]
 [ 0.          0.          0.          1.        ]]","[[-0.57841782 -0.60680434 -0.54518008 -0.04960086]
 [ 0.06640363  0.63108227 -0.7728685   0.04852374]
 [ 0.81303345 -0.48324285 -0.32473522 -0.44143595]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,3,12,10,30,0.8911828067295856,0.8400184653262207,0.0020697858083775313,0.0018789563786365665,"[[-0.31968276 -0.53669171  0.78087447 -0.04589935]
 [-0.66105516 -0.46409115 -0.58959772  0.05118742]
 [ 0.67882914 -0.70468533 -0.20642089 -0.43890962]
 [ 0.          0.          0.          1.        ]]","[[ 0.03574512  0.28198915  0.95875148 -0.04481353]
 [-0.99790005 -0.04178322  0.04949403  0.0512082 ]
 [ 0.0540165  -0.95850732  0.27990344 -0.43869001]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,4,12,3,6,0.9976918342224046,1.0,0.0017092786205631205,0.0015123960044331225,"[[-0.33422089 -0.32023134  0.88642444 -0.04478278]
 [-0.22733038 -0.88535002 -0.40555672  0.05529576]
 [ 0.91466786 -0.33705673  0.22310416 -0.43479481]
 [ 0.          0.          0.          1.        ]]","[[-0.3178405  -0.21784489  0.92277897 -0.04427218]
 [-0.31287354 -0.89463436 -0.31896632  0.05660489]
 [ 0.89503495 -0.39009354  0.21619313 -0.43504804]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,5,12,3,30,0.9204708658186295,0.9428344275748871,0.0019973008491846462,0.0018634648519126606,"[[ 0.62810245 -0.32688628 -0.70613927 -0.04623348]
 [ 0.67743443  0.67620091  0.28954262  0.06059889]
 [ 0.38284451 -0.66022548  0.64616747 -0.4309616 ]
 [ 0.          0.          0.          1.        ]]","[[ 0.04664243  0.20474634 -0.97770314 -0.04724478]
 [ 0.70854285  0.68314458  0.176863    0.05852584]
 [ 0.70412465 -0.70099388 -0.11320803 -0.43217298]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,6,12,5,30,0.33624846122281493,0.3196040213377103,0.0028613593816055375,0.0027774579331652244,"[[ 0.16582799 -0.25408276  0.95286045 -0.04408743]
 [ 0.81844611  0.5744827   0.01075171  0.05482466]
 [-0.55013367  0.77808199  0.30321835 -0.39838201]
 [ 0.          0.          0.          1.        ]]","[[ 0.00791141 -0.12544452  0.99206909 -0.0408049 ]
 [ 0.82540682  0.56086035  0.06433698  0.03490894]
 [-0.56448294  0.8183516   0.10797996 -0.40431238]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,10,12,3,30,0.9452451784981535,0.8876436192039393,0.0021165358103867934,0.0017601238509145896,"[[ 0.71348544  0.24441852 -0.65665677 -0.04124562]
 [ 0.33266111  0.70665561  0.62447933  0.06507007]
 [ 0.61666451 -0.66400107  0.42287995 -0.41451406]
 [ 0.          0.          0.          1.        ]]","[[ 0.23154462 -0.33313095 -0.91400813 -0.04095765]
 [ 0.40721072  0.88645893 -0.2199318   0.06303342]
 [ 0.88349676 -0.32126988  0.34090929 -0.41639521]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,13,12,4,8,0.8110125153877719,0.9567860073861305,0.0023256456722792894,0.001956625269848782,"[[ 0.54703236  0.27839227  0.78946396 -0.03713554]
 [-0.69123023 -0.38173645  0.61357808  0.06897879]
 [ 0.47218257 -0.88134841 -0.01638904 -0.40645872]
 [ 0.          0.          0.          1.        ]]","[[ 0.41769497  0.47011406  0.77751121 -0.03753058]
 [-0.50717339 -0.58937159  0.62882135  0.0656214 ]
 [ 0.75386077 -0.65698851 -0.00774821 -0.40833336]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,20,12,2,25,0.7159930242100944,0.8382232252769799,0.0025392803085816577,0.0017392750755892705,"[[ 0.44579771  0.68044711 -0.58159791 -0.03564335]
 [-0.01017204  0.65354195  0.75682194  0.06592448]
 [ 0.89507593 -0.33147345  0.29826904 -0.40405601]
 [ 0.          0.          0.          1.        ]]","[[ 0.19993823  0.26358011 -0.94368969 -0.03376683]
 [ 0.37337732  0.8699676   0.32209588  0.06882016]
 [ 0.90587752 -0.4167516   0.07552495 -0.40469569]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,21,12,3,30,0.3115510874025441,0.8342224045958145,0.002799523678400608,0.001677981324422,"[[ 9.99680412e-01  1.62519211e-02 -1.93636192e-02 -4.09413293e-02]
 [ 2.41075129e-04  7.59804668e-01  6.50151374e-01  6.83505798e-02]
 [ 2.52787771e-02 -6.49948261e-01  7.59557925e-01 -3.93740764e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","[[ 0.60870734  0.76113349 -0.22394461 -0.03259777]
 [-0.47618011  0.57624966  0.66422047  0.07006919]
 [ 0.63460845 -0.2976779   0.71320403 -0.40745356]
 [ 0.          0.          0.          1.        ]]"
