Setting,Scene,Image,Object,RANSAC Iterations,ICP Iterations,RANSAC: Fitness,ICP: Fitness,RANSAC: Inlier RMSE,ICP: Inlier RMSE,RANSAC: Transformation,ICP: Transformation
full_scene,90,0,12,3,30,0.0,0.0,0.0,0.0,"[[ 0.62406674  0.52821967 -0.5757818  -0.19830417]
 [ 0.07111748  0.69543013  0.7150659   0.09677757]
 [ 0.77812789 -0.487197    0.39642916 -0.39233951]
 [ 0.          0.          0.          1.        ]]","[[ 0.70140329  0.18456197 -0.68845502 -0.20383784]
 [ 0.43037548  0.66027595  0.61547755  0.10146534]
 [ 0.56816404 -0.72799213  0.38368878 -0.39029719]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,1,12,5,29,0.8069860484201887,0.8644593762823143,0.0026025041466586863,0.0014378472144067698,"[[-0.93343811 -0.28277443  0.22075307 -0.05532038]
 [-0.24304986  0.04589632 -0.96892739  0.04270566]
 [ 0.26385614 -0.95808776 -0.11156966 -0.4443056 ]
 [ 0.          0.          0.          1.        ]]","[[-0.59869996 -0.65965183 -0.45433228 -0.05047394]
 [ 0.01177061  0.55991814 -0.82846432  0.04448853]
 [ 0.80088689 -0.50134932 -0.32745846 -0.44464865]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,2,12,16,20,0.8377359458350431,0.8502769798933114,0.0020011881449956744,0.00156925607390312,"[[-0.09690641 -0.30866363 -0.94622191 -0.05030196]
 [ 0.29778239  0.89815664 -0.32348153  0.05159414]
 [ 0.94970248 -0.31311565  0.00487746 -0.44004591]
 [ 0.          0.          0.          1.        ]]","[[-0.57841782 -0.60680434 -0.54518008 -0.04960086]
 [ 0.06640363  0.63108227 -0.7728685   0.04852374]
 [ 0.81303345 -0.48324285 -0.32473522 -0.44143595]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,3,12,10,30,0.8911828067295856,0.8400184653262207,0.0020697858083775313,0.0018789563786365665,"[[-0.31968276 -0.53669171  0.78087447 -0.04589935]
 [-0.66105516 -0.46409115 -0.58959772  0.05118742]
 [ 0.67882914 -0.70468533 -0.20642089 -0.43890962]
 [ 0.          0.          0.          1.        ]]","[[ 0.03574512  0.28198915  0.95875148 -0.04481353]
 [-0.99790005 -0.04178322  0.04949403  0.0512082 ]
 [ 0.0540165  -0.95850732  0.27990344 -0.43869001]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,4,12,3,6,0.9976918342224046,1.0,0.0017092786205631205,0.0015123960044331225,"[[-0.33422089 -0.32023134  0.88642444 -0.04478278]
 [-0.22733038 -0.88535002 -0.40555672  0.05529576]
 [ 0.91466786 -0.33705673  0.22310416 -0.43479481]
 [ 0.          0.          0.          1.        ]]","[[-0.3178405  -0.21784489  0.92277897 -0.04427218]
 [-0.31287354 -0.89463436 -0.31896632  0.05660489]
 [ 0.89503495 -0.39009354  0.21619313 -0.43504804]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,5,12,3,30,0.9204708658186295,0.9428344275748871,0.0019973008491846462,0.0018634648519126606,"[[ 0.62810245 -0.32688628 -0.70613927 -0.04623348]
 [ 0.67743443  0.67620091  0.28954262  0.06059889]
 [ 0.38284451 -0.66022548  0.64616747 -0.4309616 ]
 [ 0.          0.          0.          1.        ]]","[[ 0.04664243  0.20474634 -0.97770314 -0.04724478]
 [ 0.70854285  0.68314458  0.176863    0.05852584]
 [ 0.70412465 -0.70099388 -0.11320803 -0.43217298]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,6,12,5,30,0.33624846122281493,0.3196040213377103,0.0028613593816055375,0.0027774579331652244,"[[ 0.16582799 -0.25408276  0.95286045 -0.04408743]
 [ 0.81844611  0.5744827   0.01075171  0.05482466]
 [-0.55013367  0.77808199  0.30321835 -0.39838201]
 [ 0.          0.          0.          1.        ]]","[[ 0.00791141 -0.12544452  0.99206909 -0.0408049 ]
 [ 0.82540682  0.56086035  0.06433698  0.03490894]
 [-0.56448294  0.8183516   0.10797996 -0.40431238]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,7,12,3,30,0.0,0.0,0.0,0.0,"[[-0.77363779 -0.11154377  0.62373276 -0.08343935]
 [ 0.04723598 -0.99179673 -0.11877716 -0.1831208 ]
 [ 0.63186496 -0.06242787  0.77256031 -0.51741055]
 [ 0.          0.          0.          1.        ]]","[[-0.89769649 -0.41638891  0.1440878  -0.09083251]
 [ 0.41544053 -0.90882358 -0.03806398 -0.18290082]
 [ 0.14679981  0.02569001  0.98883256 -0.51561109]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,8,12,0,30,0.0,0.0,0.0,0.0,"[[ 1.          0.          0.         -0.02162758]
 [ 0.          1.          0.         -0.00934253]
 [ 0.          0.          1.         -0.47741336]
 [ 0.          0.          0.          1.        ]]","[[ 0.17822535  0.37572373  0.90943246 -0.01347649]
 [ 0.83336352  0.43379158 -0.34253483 -0.02642718]
 [-0.52320261  0.81893623 -0.23580179 -0.48752723]
 [ 0.          0.          0.          1.        ]]"
full_scene,90,9,12,4,27,0.0,0.0,0.0,0.0,"[[-0.09977481 -0.87337356 -0.47672173 -0.08611238]
 [ 0.58343608  0.33675242 -0.73905355 -0.17328024]
 [ 0.80600703 -0.35187558  0.47595824 -0.52795954]
 [ 0.          0.          0.          1.        ]]","[[-0.7823742  -0.43810577 -0.44266685 -0.09276958]
 [ 0.25774626  0.41927803 -0.87050146 -0.17441117]
 [ 0.5669722  -0.79515361 -0.21511219 -0.5287937 ]
 [ 0.          0.          0.          1.        ]]"
