Setting,Pipeline,Rank,Object,Recall (%),Mean RANSAC Iterations,STD RANSAC Iterations,Mean ICP Iterations,STD ICP Iterations,RANSAC: Mean Fitness,RANSAC: STD Fitness,ICP: Mean Fitness,ICP: STD Fitness,RANSAC: Mean Inlier RMSE,RANSAC: STD Inlier RMSE,ICP: Mean Inlier RMSE,ICP: STD Inlier RMSE
Full Scene,Deep Learning,Top 1,12,41.6015625,,,,,,,,,,,,
Full Scene,Deep Learning,Top 2,37,11.030927835051546,,,,,,,,,,,,
Full Scene,Deep Learning,Top 3,28,0.23980815347721823,,,,,,,,,,,,
Full Scene,Deep Learning,Bottom 3,12,41.6015625,,,,,,,,,,,,
Full Scene,Deep Learning,Bottom 2,37,11.030927835051546,,,,,,,,,,,,
Full Scene,Deep Learning,Bottom 1,28,0.23980815347721823,,,,,,,,,,,,
Full Scene,Geometric-Only,Top 1,12,75.78125,34.26288659793814,22.29802748874697,28.463917525773194,4.069961444992209,0.6222097765758983,0.20033642772317717,0.8517741810109608,0.1414157963940142,0.002430504216164009,0.0004005627174027443,0.0017443794786720429,0.0002972905269048839
Full Scene,Geometric-Only,Top 2,37,4.123711340206185,61.8,20.02331973807873,27.85,4.079655591295635,0.4930671562808393,0.13045216151411712,0.6225083668244684,0.15800975760411867,0.0025267798006562503,0.0003090622962830515,0.0020542811676811544,0.0003242401646397589
Full Scene,Geometric-Only,Top 3,28,1.079136690647482,42.333333333333336,23.24865587512534,20.77777777777778,7.8545811119654525,0.3741080530071355,0.12011844529449008,0.5611969026408595,0.17988152527318046,0.0029720886464725716,0.0004555839108611404,0.0024421690997079508,0.00023209312649007764
Full Scene,Geometric-Only,Bottom 3,12,75.78125,34.26288659793814,22.29802748874697,28.463917525773194,4.069961444992209,0.6222097765758983,0.20033642772317717,0.8517741810109608,0.1414157963940142,0.002430504216164009,0.0004005627174027443,0.0017443794786720429,0.0002972905269048839
Full Scene,Geometric-Only,Bottom 2,37,4.123711340206185,61.8,20.02331973807873,27.85,4.079655591295635,0.4930671562808393,0.13045216151411712,0.6225083668244684,0.15800975760411867,0.0025267798006562503,0.0003090622962830515,0.0020542811676811544,0.0003242401646397589
Full Scene,Geometric-Only,Bottom 1,28,1.079136690647482,42.333333333333336,23.24865587512534,20.77777777777778,7.8545811119654525,0.3741080530071355,0.12011844529449008,0.5611969026408595,0.17988152527318046,0.0029720886464725716,0.0004555839108611404,0.0024421690997079508,0.00023209312649007764
Single Object,Deep Learning,Top 1,12,90.234375,,,,,,,,,,,,
Single Object,Deep Learning,Top 2,37,77.62886597938144,,,,,,,,,,,,
Single Object,Deep Learning,Top 3,28,74.0072202166065,,,,,,,,,,,,
Single Object,Deep Learning,Bottom 3,12,90.234375,,,,,,,,,,,,
Single Object,Deep Learning,Bottom 2,37,77.62886597938144,,,,,,,,,,,,
Single Object,Deep Learning,Bottom 1,28,74.0072202166065,,,,,,,,,,,,
Single Object,Geometric-Only,Top 1,12,91.6015625,39.6183368869936,21.036835942197058,28.767590618336886,3.585842108476103,0.7713381477628564,0.16475091250520343,0.8375275492518065,0.14974662995485347,0.0022548940063743493,0.000328823961291553,0.001692040948473565,0.0001919893802046336
Single Object,Geometric-Only,Top 2,37,78.14432989690722,151.65831134564644,73.88888532578909,27.766490765171504,4.727120223586125,0.4908080971645252,0.1408100960435411,0.5506739404182776,0.15450735405179833,0.0025562976061022325,0.0002776150664992572,0.0021673711644808924,0.00033141138904440307
Single Object,Geometric-Only,Top 3,28,73.28519855595668,13.658456486042693,7.878702027616096,24.03448275862069,7.637368728098002,0.6485412040282049,0.17115023735362475,0.7114773450196826,0.21212590051214325,0.00271991343530052,0.00028426169271103893,0.0023584240683209323,0.00039652913918911126
Single Object,Geometric-Only,Bottom 3,12,91.6015625,39.6183368869936,21.036835942197058,28.767590618336886,3.585842108476103,0.7713381477628564,0.16475091250520343,0.8375275492518065,0.14974662995485347,0.0022548940063743493,0.000328823961291553,0.001692040948473565,0.0001919893802046336
Single Object,Geometric-Only,Bottom 2,37,78.14432989690722,151.65831134564644,73.88888532578909,27.766490765171504,4.727120223586125,0.4908080971645252,0.1408100960435411,0.5506739404182776,0.15450735405179833,0.0025562976061022325,0.0002776150664992572,0.0021673711644808924,0.00033141138904440307
Single Object,Geometric-Only,Bottom 1,28,73.28519855595668,13.658456486042693,7.878702027616096,24.03448275862069,7.637368728098002,0.6485412040282049,0.17115023735362475,0.7114773450196826,0.21212590051214325,0.00271991343530052,0.00028426169271103893,0.0023584240683209323,0.00039652913918911126
