Setting,Scene,Image,Object,RANSAC Iterations,ICP Iterations,RANSAC: Fitness,ICP: Fitness,RANSAC: Inlier RMSE,ICP: Inlier RMSE,RANSAC: Transformation,ICP: Transformation
full_scene,92,1,49,13,30,0.302192397648036,0.4111674572121795,0.0028643898015199474,0.0024772138333629,"[[ 0.03326952  0.95039804  0.30925186  0.07185107]
 [ 0.98955279 -0.07475347  0.12327691  0.02179092]
 [ 0.14027978  0.30191968 -0.94295604 -0.40023032]
 [ 0.          0.          0.          1.        ]]","[[ 0.40969387  0.83511255  0.36706668  0.070238  ]
 [ 0.89626145 -0.443444    0.00853476  0.01133063]
 [ 0.169901    0.32549108 -0.93015547 -0.40028215]
 [ 0.          0.          0.          1.        ]]"
full_scene,92,2,49,10,27,0.2954162932523115,0.4006972830007213,0.002841818773841385,0.002479790413011493,"[[ 0.41359953  0.90854434  0.05901372  0.06166568]
 [ 0.8617404  -0.41156342  0.29668004  0.01300963]
 [ 0.29383485 -0.07185222 -0.95315179 -0.41542624]
 [ 0.          0.          0.          1.        ]]","[[ 0.49114698  0.81943332  0.29547195  0.06862553]
 [ 0.85653411 -0.51603794  0.00735952  0.01125899]
 [ 0.15850538  0.2494672  -0.95532307 -0.40448625]
 [ 0.          0.          0.          1.        ]]"
full_scene,92,3,49,11,29,0.4025552471092264,0.4453977136112265,0.0025910306138279995,0.0024068028208638174,"[[ 0.55271662  0.66231054  0.50581527  0.06562724]
 [ 0.80685248 -0.57717806 -0.12591488  0.00128013]
 [ 0.20855072  0.47771355 -0.85340281 -0.3972351 ]
 [ 0.          0.          0.          1.        ]]","[[ 0.44381386  0.8330085   0.33034239  0.07100319]
 [ 0.86487846 -0.49466263  0.08540571  0.00141794]
 [ 0.23455172  0.24780178 -0.93998924 -0.40176435]
 [ 0.          0.          0.          1.        ]]"
full_scene,92,4,49,31,25,0.3583903473299963,0.3230671708671228,0.002568776690106617,0.002615008877438853,"[[ 0.67539413 -0.01815946  0.73723335  0.05107918]
 [ 0.1547727  -0.97394162 -0.16578039 -0.00859272]
 [ 0.72103272  0.2260707  -0.65498386 -0.4062374 ]
 [ 0.          0.          0.          1.        ]]","[[ 0.68367826  0.192775    0.70386208  0.05117239]
 [ 0.18264713 -0.97898445  0.09071643 -0.00686228]
 [ 0.70655789  0.06653754 -0.70452019 -0.41316864]
 [ 0.          0.          0.          1.        ]]"
full_scene,92,6,49,9,30,0.3823690135303504,0.4152440490502525,0.002887263314221724,0.002428057142411984,"[[-0.8511765  -0.40695721  0.33148815  0.06077977]
 [-0.47778844  0.86219231 -0.16835267  0.03762694]
 [-0.2172942  -0.30167904 -0.92831729 -0.40593847]
 [ 0.          0.          0.          1.        ]]","[[-0.67865035 -0.56380051  0.47070445  0.06057527]
 [-0.73162159  0.57524775 -0.365814    0.03624034]
 [-0.06452555 -0.59263734 -0.80288071 -0.41358092]
 [ 0.          0.          0.          1.        ]]"
full_scene,92,7,49,5,30,0.2396555115958819,0.3304662396992284,0.002816474161259015,0.002582946365585221,"[[-0.73806768 -0.65513611  0.16140875  0.06626998]
 [-0.54170013  0.43272738 -0.72063027  0.0356912 ]
 [ 0.40226492 -0.61930905 -0.67426941 -0.4214243 ]
 [ 0.          0.          0.          1.        ]]","[[-0.51723859 -0.79558545  0.31544895  0.06438771]
 [-0.69062747  0.17031414 -0.7028704   0.05137714]
 [ 0.50546804 -0.5814094  -0.6375462  -0.42526045]
 [ 0.          0.          0.          1.        ]]"
full_scene,92,25,49,7,30,0.311624297798859,0.4170910839581193,0.0027809353822295787,0.002488306735424768,"[[-0.91252174 -0.40892994 -0.00896554  0.06444747]
 [-0.38956217  0.87556661 -0.2856999   0.0273755 ]
 [ 0.12468117 -0.25721474 -0.9582772  -0.40590858]
 [ 0.          0.          0.          1.        ]]","[[-0.82692696 -0.52105319  0.21141282  0.06522373]
 [-0.56230301  0.76803336 -0.30649646  0.02976572]
 [-0.00267114 -0.37232825 -0.92809727 -0.41253365]
 [ 0.          0.          0.          1.        ]]"
full_scene,92,29,49,24,26,0.3105423069356707,0.352816455004481,0.002505334447729317,0.002156588020314647,"[[-0.6356633  -0.46850856  0.61354046  0.05669544]
 [-0.76678503  0.29126714 -0.57201763  0.03218707]
 [ 0.08929098 -0.83406425 -0.54439319 -0.42669643]
 [ 0.          0.          0.          1.        ]]","[[-0.74623506 -0.35344015  0.56410397  0.06252033]
 [-0.66332499  0.32355036 -0.67477042  0.03255526]
 [ 0.05597492 -0.87772161 -0.47589031 -0.42468934]
 [ 0.          0.          0.          1.        ]]"
full_scene,92,31,49,6,30,0.2912085510065794,0.369253972764432,0.002877773240690764,0.0024948475183838945,"[[-0.82894346 -0.4599663  -0.31825106  0.07872081]
 [-0.3840674   0.88172092 -0.27397161  0.03365992]
 [ 0.40662632 -0.10487712 -0.90755486 -0.41442303]
 [ 0.          0.          0.          1.        ]]","[[-0.65861503 -0.68805388  0.30464424  0.06251108]
 [-0.6401063   0.29945367 -0.70752485  0.03174305]
 [ 0.39558838 -0.6609912  -0.63765231 -0.42609298]
 [ 0.          0.          0.          1.        ]]"
full_scene,92,32,49,10,16,0.43090559356488667,0.40280661872390655,0.002544485148451485,0.002336651862673534,"[[ 0.66106255  0.58516587  0.46965648  0.07030813]
 [ 0.74981095 -0.49189458 -0.44251921 -0.00933294]
 [-0.02792566  0.64468645 -0.76393687 -0.3953928 ]
 [ 0.          0.          0.          1.        ]]","[[ 0.79225767  0.548139    0.26808847  0.06697748]
 [ 0.59013966 -0.80000719 -0.10827595 -0.01169446]
 [ 0.15512243  0.24399209 -0.95729039 -0.40548665]
 [ 0.          0.          0.          1.        ]]"
full_scene,92,33,49,7,30,0.36287131959168506,0.38372423440949527,0.002657828246552529,0.0025990789607146366,"[[-0.65456978 -0.61954281 -0.43324947  0.06938996]
 [-0.48585577  0.78380183 -0.38678012  0.03289971]
 [ 0.57920857 -0.04267782 -0.81406145 -0.41751258]
 [ 0.          0.          0.          1.        ]]","[[-0.57122324 -0.79195264 -0.21567341  0.07532792]
 [-0.51427139  0.55011613 -0.65794923  0.03199281]
 [ 0.63971005 -0.26492123 -0.7215177  -0.42521899]
 [ 0.          0.          0.          1.        ]]"
full_scene,92,34,49,10,30,0.2987387702463442,0.38458764125991823,0.002537797602706477,0.0029368134936837167,"[[ 0.85117839  0.18870131  0.48978277  0.05764267]
 [ 0.25710919 -0.96341751 -0.07564096 -0.01575702]
 [ 0.45759175  0.1903116  -0.86855701 -0.41196471]
 [ 0.          0.          0.          1.        ]]","[[ 0.7544294  -0.09949448  0.64879667  0.04041416]
 [ 0.30155562 -0.82541707 -0.47723251 -0.01351987]
 [ 0.58300985  0.55568652 -0.59271579 -0.41239336]
 [ 0.          0.          0.          1.        ]]"
full_scene,92,38,49,3,30,0.3811558722595029,0.42527705523618003,0.0028113526554130928,0.0027107492922215106,"[[ 0.87549383  0.43583321 -0.20871025  0.05329675]
 [-0.02295165  0.4689241   0.88294021  0.02295565]
 [ 0.48268393 -0.76821846  0.42054325 -0.39407095]
 [ 0.          0.          0.          1.        ]]","[[ 0.65937033  0.72037556 -0.21515069  0.03857793]
 [-0.29233158  0.50931649  0.80940655  0.01898262]
 [ 0.69265649 -0.47080332  0.5464167  -0.40141155]
 [ 0.          0.          0.          1.        ]]"
full_scene,92,48,49,14,30,0.36447791208551006,0.41282869570919584,0.0028790394522349287,0.0026412093422650378,"[[ 0.99358375  0.09193178  0.06587777  0.04650923]
 [-0.10567015  0.54696194  0.83046159  0.00641504]
 [ 0.04031318 -0.83209445  0.55316694 -0.41339164]
 [ 0.          0.          0.          1.        ]]","[[ 0.99882305  0.04816346  0.00572648  0.04546252]
 [-0.03127222  0.54924121  0.83507853  0.00758167]
 [ 0.03707506 -0.83427476  0.55010096 -0.41300469]
 [ 0.          0.          0.          1.        ]]"
full_scene,92,50,49,7,30,0.2777437758202365,0.37104636166910754,0.0028288932332953148,0.0026680576215872324,"[[ 0.69318373  0.54487299  0.47181536  0.07573458]
 [ 0.61906675 -0.11484442 -0.77689582 -0.01266555]
 [-0.36912419  0.83061675 -0.41692103 -0.40445877]
 [ 0.          0.          0.          1.        ]]","[[ 0.75161264  0.58963888  0.2956424   0.05695827]
 [ 0.59433302 -0.41099854 -0.69126584 -0.02183196]
 [-0.28608862  0.69527418 -0.65935356 -0.40925297]
 [ 0.          0.          0.          1.        ]]"
full_scene,92,58,49,8,30,0.320192791099259,0.3879101182539509,0.002754491295394034,0.002611118644970448,"[[-0.85983645 -0.34182417 -0.37925918  0.08145292]
 [-0.29718728  0.93908491 -0.17262459  0.01848351]
 [ 0.41516383 -0.03571791 -0.90904523 -0.41763924]
 [ 0.          0.          0.          1.        ]]","[[-0.83569152 -0.54686761 -0.05055196  0.06977733]
 [-0.37698049  0.63813589 -0.67131833  0.01462418]
 [ 0.39938127 -0.54195793 -0.73944317 -0.42530279]
 [ 0.          0.          0.          1.        ]]"
full_scene,92,59,49,20,30,0.3251655773896697,0.3613084439004131,0.002652833190590468,0.00231856247381728,"[[ 0.6433751   0.75043692  0.15137008  0.06835213]
 [ 0.66217743 -0.44628757 -0.60195386 -0.02418902]
 [-0.38417382  0.48751598 -0.7840527  -0.39118686]
 [ 0.          0.          0.          1.        ]]","[[ 0.91788514  0.37439563  0.13158563  0.06717603]
 [ 0.39646395 -0.87967299 -0.26266283 -0.02104729]
 [ 0.01741251  0.29326327 -0.95587314 -0.40398697]
 [ 0.          0.          0.          1.        ]]"
full_scene,92,61,49,8,30,0.33012743447944215,0.3675271590635861,0.0025306330854224196,0.002500829287967132,"[[-0.725285   -0.02200055 -0.68809712  0.07832289]
 [-0.28238038  0.92105048  0.26819271  0.0168124 ]
 [ 0.6278718   0.38882128 -0.67423662 -0.4129787 ]
 [ 0.          0.          0.          1.        ]]","[[-0.58134365 -0.64426339 -0.49695497  0.07358411]
 [-0.28170617  0.73236287 -0.61990827  0.01202847]
 [ 0.76333557 -0.22038446 -0.60724747 -0.42914339]
 [ 0.          0.          0.          1.        ]]"
full_scene,92,62,49,16,30,0.3449037137423769,0.3581280465146779,0.0025679405649887558,0.0023946023937626197,"[[ 0.85914731  0.44726811  0.24863052  0.05367768]
 [ 0.47690787 -0.87598922 -0.07212337 -0.04206659]
 [ 0.18553918  0.18053845 -0.96590946 -0.40773033]
 [ 0.          0.          0.          1.        ]]","[[ 0.96600382  0.13458712  0.22073272  0.05280928]
 [ 0.17411039 -0.96982949 -0.17063506 -0.03586048]
 [ 0.19110782  0.20326598 -0.96029201 -0.4073023 ]
 [ 0.          0.          0.          1.        ]]"
full_scene,92,63,49,12,30,0.20184047738748387,0.3310782749349713,0.0030770232469865834,0.002584872033766166,"[[ 0.93589072 -0.22145467  0.27398245  0.040146  ]
 [-0.27147019 -0.94901377  0.16023982 -0.01856139]
 [ 0.22452726 -0.22434503 -0.94829153 -0.41248167]
 [ 0.          0.          0.          1.        ]]","[[ 0.97373815 -0.04584862  0.22300655  0.04539432]
 [-0.03487873 -0.99799129 -0.05288533 -0.02997958]
 [ 0.22498332  0.04371828 -0.97338133 -0.41488019]
 [ 0.          0.          0.          1.        ]]"
full_scene,92,79,49,3,30,0.31699053531224725,0.39608516033137336,0.002774914300171018,0.002398184778574563,"[[-0.99684374  0.00180127 -0.07936823  0.03426797]
 [ 0.04794994  0.81044775 -0.58384523 -0.02196159]
 [ 0.06327214 -0.58580816 -0.80797613 -0.42144884]
 [ 0.          0.          0.          1.        ]]","[[-0.99107841 -0.0531247  -0.12223482  0.0423226 ]
 [ 0.0314114   0.79819013 -0.6015861  -0.01355061]
 [ 0.12952571 -0.60005856 -0.78940029 -0.42794908]
 [ 0.          0.          0.          1.        ]]"
