Setting,Pipeline,Scene,Mean RANSAC Iterations,STD RANSAC Iterations,Mean ICP Iterations,STD ICP Iterations,RANSAC: Mean Fitness,RANSAC: STD Fitness,ICP: Mean Fitness,ICP: STD Fitness,RANSAC: Mean Inlier RMSE,RANSAC: STD Inlier RMSE,ICP: Mean Inlier RMSE,ICP: STD Inlier RMSE
Single Object,Deep-Learning,92,29.231884057971016,16.448930907098255,26.14975845410628,6.104414083316732,0.390541415704237,0.0963591961563924,0.44402496377260375,0.10573373183798426,0.0026816375676648823,0.0001756861992445644,0.002473175212696602,0.00020938531749150255
Single Object,Deep-Learning,93,23.31140350877193,17.960417853580964,15.701754385964913,6.8088175852031,0.7220735914848871,0.2097719176062073,0.7867407129596927,0.1923467352558295,0.0023732058044229846,0.0002583532916590364,0.0019987297335189737,0.00024890457609529006
Single Object,Deep-Learning,94,29.546875,19.936510747478195,13.2734375,5.0062154995016925,0.7524673097362784,0.1162079484150203,0.8444390092543006,0.0969300060382356,0.0025003710317441077,0.00020558905512452048,0.0019990229099965916,0.00016017396398564895
Single Object,Deep-Learning,95,30.632411067193676,18.130787442653187,18.474308300395258,7.127267949809603,0.5330234220977378,0.14439332420787757,0.5953232784111482,0.15219540923351849,0.002576707717625304,0.0002101754201795841,0.0022706848991287214,0.00015309667040774662
Single Object,Deep-Learning,96,45.153225806451616,23.638951180815518,27.957831325301203,5.1092913465613705,0.5669555092561513,0.14981572696195453,0.6668118006920647,0.12778881841892006,0.002594157680520071,0.00021249340598451888,0.0022222431554192288,0.0001597279125509182
Single Object,Deep-Learning,97,34.69627507163324,18.70581423207869,27.997134670487107,4.899271918307138,0.44132819474131973,0.1408405513469475,0.5209863505127659,0.15423540068343425,0.002666038175164454,0.0002691257285075011,0.002394135813172949,0.0002587810738956444
Single Object,Deep-Learning,98,39.66191446028513,30.69950768054531,27.646341463414632,5.3543410666402895,0.5866549686376276,0.16790327591018983,0.7315486912799531,0.14078119451048118,0.002559409283090194,0.00022983390734962803,0.00214964746238746,0.0002127189210953864
Single Object,Deep-Learning,99,37.16816143497758,25.60326241068629,27.299334811529935,5.5981325855529604,0.5506885299031498,0.1868344585166209,0.6760643144517631,0.18222514318981356,0.002631321665624311,0.00026379640165512437,0.002277769663194645,0.0002448693207516937
Single Object,Deep-Learning,TOTAL,35.66984592809978,24.053633970498705,24.386613021214337,7.773653752182935,0.5655901843902207,0.1864907648130802,0.6645232995113189,0.18390628437034212,0.0025810114203032534,0.00024638532785432415,0.0022242216358817728,0.0002514407788922406
Single Object,Deep-Learning,Inter-Scene STD,,6.910469969136408,,6.186000881651454,,0.1237372176610966,,0.13396855190765955,,9.978424154364963e-05,,0.000170290708564666
