Setting,Scene,Image,Object,RANSAC Iterations,ICP Iterations,RANSAC: Fitness,ICP: Fitness,RANSAC: Inlier RMSE,ICP: Inlier RMSE,RANSAC: Transformation,ICP: Transformation
single_object,92,0,49,146,22,0.3462480054208835,0.3651992393276356,0.0027313389687361562,0.002254534037243777,"[[-0.33905889 -0.60421288 -0.72108658  0.0137926 ]
 [ 0.22984988  0.69005598 -0.6862884  -0.05461245]
 [ 0.91225441 -0.39843385 -0.09509136 -0.45959732]
 [ 0.          0.          0.          1.        ]]","[[-0.46087081 -0.56342661 -0.68567379  0.02068335]
 [-0.13585754  0.80830343 -0.57287721 -0.03592147]
 [ 0.87700674 -0.17086844 -0.44906921 -0.45896435]
 [ 0.          0.          0.          1.        ]]"
single_object,92,1,49,101,30,0.32386500251371614,0.3610024262825417,0.0027239044590982348,0.002258032969629091,"[[ 9.95673506e-04 -4.27633885e-01  9.03951475e-01  4.74619521e-02]
 [-2.88013423e-01 -8.65770793e-01 -4.09254446e-01  1.80390128e-02]
 [ 9.57625854e-01 -2.59942675e-01 -1.24026324e-01 -4.27562944e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","[[ 0.03891153 -0.67965527  0.73249888  0.04386763]
 [-0.72809116 -0.52134871 -0.44506042  0.03876083]
 [ 0.68437501 -0.51600798 -0.51513747 -0.42742616]
 [ 0.          0.          0.          1.        ]]"
single_object,92,2,49,71,30,0.26953594614089926,0.42063214496491724,0.002628151183599671,0.0026875525570652014,"[[-0.7082067  -0.70595847 -0.0081183   0.08496475]
 [-0.49711203  0.5067944  -0.70430041  0.05003936]
 [ 0.50132115 -0.49475457 -0.70985563 -0.41620893]
 [ 0.          0.          0.          1.        ]]","[[-0.82176487 -0.42321238  0.38156752  0.07418473]
 [-0.56107867  0.48407408 -0.67146334  0.05139834]
 [ 0.09946465 -0.76587438 -0.63525051 -0.41586108]
 [ 0.          0.          0.          1.        ]]"
single_object,92,3,49,119,30,0.335023716365385,0.33676145926686923,0.0028184527089761997,0.002733856221060335,"[[ 0.39060734  0.41700888 -0.82068843  0.03104712]
 [ 0.13744416  0.85510104  0.4999113   0.0266287 ]
 [ 0.91023899 -0.30806786  0.27669331 -0.41489039]
 [ 0.          0.          0.          1.        ]]","[[ 0.44453806  0.37222834 -0.81475885  0.03035083]
 [ 0.12279745  0.87566188  0.46705146  0.02649769]
 [ 0.88730305 -0.30767246  0.34355633 -0.41511689]
 [ 0.          0.          0.          1.        ]]"
single_object,92,4,49,149,24,0.3818662703009902,0.40083936260901876,0.0029002368039488147,0.002427930585576645,"[[-0.2713418  -0.66097041  0.69963687  0.05907807]
 [-0.68749438 -0.37562369 -0.62149684  0.03689816]
 [ 0.6735912  -0.64963449 -0.35249103 -0.42490974]
 [ 0.          0.          0.          1.        ]]","[[-0.17170701 -0.73806998  0.65251008  0.05640148]
 [-0.63036051 -0.42669256 -0.64852069  0.03634794]
 [ 0.75707485 -0.52267214 -0.39198407 -0.42875499]
 [ 0.          0.          0.          1.        ]]"
single_object,92,5,49,170,30,0.32937331963540184,0.3343461059258126,0.0029526352670575205,0.0026228472484615102,"[[-0.6275109  -0.40911151  0.66246346  0.05230055]
 [-0.76971485  0.19772685 -0.60699518  0.01744405]
 [ 0.1173419  -0.89080405 -0.43897496 -0.42154942]
 [ 0.          0.          0.          1.        ]]","[[-0.39762585 -0.6024113   0.69209415  0.04977162]
 [-0.91339449  0.18819158 -0.36096321  0.02616373]
 [ 0.08720203 -0.77568328 -0.625069   -0.41922754]
 [ 0.          0.          0.          1.        ]]"
single_object,92,6,49,120,30,0.39669719556711625,0.3506961900806575,0.0026441662136117376,0.002236213602338989,"[[-0.5301257  -0.62797101  0.56975359  0.06780898]
 [-0.74863685  0.03113689 -0.66224871  0.02935998]
 [ 0.39813264 -0.7776136  -0.4866287  -0.41706703]
 [ 0.          0.          0.          1.        ]]","[[-0.18134252 -0.6110041   0.77057698  0.05082676]
 [-0.82423487 -0.33298079 -0.45799637  0.02856391]
 [ 0.53642499 -0.71819063 -0.44322731 -0.42805569]
 [ 0.          0.          0.          1.        ]]"
single_object,92,7,49,128,30,0.33102362893177995,0.31397407593608606,0.0026470320345642457,0.002704812037590987,"[[-0.70218751 -0.39457782  0.59265593  0.05164071]
 [-0.62497627  0.74034548 -0.24757472  0.01125176]
 [-0.34108264 -0.54423976 -0.76646312 -0.40864967]
 [ 0.          0.          0.          1.        ]]","[[-0.46423844 -0.76387497  0.44830536  0.04765164]
 [-0.84454851  0.53428063  0.03580531  0.01782308]
 [-0.26687165 -0.36199342 -0.89316308 -0.40981919]
 [ 0.          0.          0.          1.        ]]"
single_object,92,8,49,134,30,0.3859647205403397,0.3906861352160703,0.0025525120002253834,0.0023416298312828286,"[[-0.49560305 -0.51156994  0.70190727  0.06789191]
 [-0.79219966 -0.06507164 -0.60678281  0.03085947]
 [ 0.3560861  -0.85677411 -0.37301583 -0.4224552 ]
 [ 0.          0.          0.          1.        ]]","[[-0.15599279 -0.56990945  0.80676482  0.05717541]
 [-0.68105393 -0.52951733 -0.50574395  0.0186454 ]
 [ 0.71542421 -0.62834276 -0.30553818 -0.42596308]
 [ 0.          0.          0.          1.        ]]"
single_object,92,9,49,62,30,0.35578919757808913,0.35776738289361515,0.0028399109724987393,0.002617183134173216,"[[-6.10864841e-01  4.49639369e-02 -7.90457077e-01  2.18165644e-02]
 [-6.14367737e-01 -6.56663903e-01  4.37429768e-01 -4.51954002e-04]
 [-4.99396065e-01  7.52841792e-01  4.28757283e-01 -3.82446538e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","[[-0.3291871   0.57940009 -0.74560807  0.02186089]
 [-0.90487972 -0.41923408  0.07372568  0.00637488]
 [-0.26986764  0.69895517  0.66229384 -0.39143474]
 [ 0.          0.          0.          1.        ]]"
